model,mean_reward,std_reward,mean_steps,survival_rate
Baseline (no disturbance training),1998.8174889282977,0.005133973426433549,1000.0,1.0
Robust (disturbance training),1994.9514106685424,0.5072579894973,1000.0,1.0
