episode,total_reward,steps,target_y,final_com_y,final_h,max_abs_xcom_y,failed,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg,final_error
1,1771.956466436386,1000,-0.01287834116622373,-0.010634501040593753,0.9252053291456674,0.0392907657785464,False,3.0434333792788455,3.5269589826202288,2.4459348899859368,4.711526635943857,10.638349602396007,12.881683606333588,4.510239785774631,6.115499551276761,0.0022438401256299773
2,1857.8339606523514,1000,0.005299183113780415,0.005436843143107909,0.9954113323557502,0.020683572620958247,False,3.8115187433282216,4.716220135945517,1.2376202083755181,2.7718437584901907,18.825106107851212,23.221753487756217,9.690011858598996,12.131398675733836,0.00013766002932749394
3,1862.3922152118757,1000,-0.02461890101191896,-0.024699092691347173,0.9973269440190596,0.049843527068441654,False,2.513550857042127,5.5899004890613995,5.797364611516994,8.275854384327129,18.240575706418298,21.278214435566845,13.550002839675567,16.07292139903417,-8.01916794282119e-05
4,1799.3694551885128,1000,-0.005470379653751654,-0.0036892097233422877,0.9406276689863544,0.02618679494643491,False,3.8419924425084933,4.674193078641742,1.6977562344654178,3.194582172966727,16.249457094330328,20.247007346304972,7.583882876227186,9.895134025943152,0.0017811699304093667
5,1800.6739124953747,1000,-0.008363632996687916,-0.00678206982655022,0.9472812276620768,0.03154372341637642,False,3.269120540633792,3.745588061466266,2.1058961484011327,3.3633097981675686,12.774375325634606,15.017305427023253,5.665115628448525,7.320541847810576,0.0015815631701376958
6,1819.6656948328018,1000,-0.0016222184859528317,-0.0005089172713046274,0.9628899595117265,0.01700537236878813,False,3.879335455603649,4.86574589327277,1.5000807032664278,3.189143638174776,17.41678972736383,22.178794694450463,8.432165634149486,10.868591251397445,0.0011133012146482043
7,1834.7991812750697,1000,-0.020114901936388922,-0.021242635187332697,0.9624088916352075,0.04469572596615432,False,2.484392720204123,4.784879897262673,5.675399357890955,7.1419850278276575,17.005800478483852,18.898917770081166,12.64261164553589,14.698197011316427,-0.001127733250943775
8,1825.4484014511108,1000,-0.0017377007281956028,-0.00040390696650176295,0.9555402079435387,0.017860116747765626,False,3.8904509674646435,4.721099818954821,1.50573843936316,2.5507361560674253,17.423051260349393,21.442783253723306,8.399871011534003,10.452702752661533,0.0013337937616938397
9,1691.910720360931,1000,0.022046646055771273,0.01848716231888717,0.8813505421038633,0.04655083504495849,False,3.2908459266336787,3.6214345706891513,1.0401596651110776,3.6112757472096004,20.15787005082838,22.02785783750498,11.171009169169748,12.593025515606792,-0.003559483736884101
10,1771.8759132884443,1000,0.014542886146619978,0.012746594389945288,0.9401236081108436,0.03519508138940551,False,3.5023721767974108,3.9348023355189916,1.0872616481123314,2.9350015626153136,19.481798342937395,21.69527002645865,10.635735960209127,12.266023069239482,-0.0017962917566746901
11,1864.1383402347565,1000,-0.024437147470389824,-0.024484308843810434,0.998427954219313,0.05193542419254852,False,2.5150005390234935,5.8564457630745155,5.782511611126525,8.394621269065428,18.18045546093939,22.302469720989087,13.466868244456688,15.901018844519621,-4.716137342061083e-05
12,1833.9127163290977,1000,0.00763633441898607,0.007192740756902551,0.985213544597216,0.024695913316327894,False,3.549044436349474,4.468950383134092,1.2810178445221903,2.6484162676031353,18.094046310581014,22.602133926424,9.521168269874764,11.99190785246453,-0.000443593662083519
13,1790.0113399252295,1000,0.012381320165450897,0.011044393978213256,0.9554357937587453,0.034184360389336275,False,3.4871897531427494,4.14447685302213,1.1514025116695692,2.678420188216249,18.904192701496264,22.238650299811386,10.240933619267468,12.20882646973712,-0.0013369261872376408
14,1800.0125533044338,1000,0.011804680106970764,0.010610906214608435,0.9602075369212557,0.033749461136409635,False,3.5947858738850056,4.288583865502904,1.12394356766489,2.687733892663624,19.31007532860736,22.788542621924105,10.406829752573532,12.579941959340095,-0.0011937738923623285
15,-76.02632926031947,67,0.028431949588575145,0.029768076358117384,0.9554624410152587,0.05185956434840076,True,2.747513092128225,4.770481470848707,2.9174229608720372,4.625453488586474,12.612116642492806,27.097159959715356,4.297621420752901,7.312953671585504,0.001336126769542239
16,1804.9848791360855,1000,-0.007272562613719426,-0.005683872917266495,0.9470436767849023,0.030530558843664284,False,3.3583880395610395,3.8392764867390596,2.0149100110746936,3.445103861669102,13.467623916867037,15.711129013090261,6.133918868528854,7.8016068435246835,0.0015886896964529308
17,1791.8070837408304,1000,0.012210241591225933,0.010793259388310352,0.952767259902814,0.033492753155082856,False,3.50762742775175,4.135086089891619,1.1459084211015875,2.6543780421966585,18.96869746236354,22.097571625409508,10.277714893369282,12.513310080943615,-0.0014169822029155808
18,1807.7006285786629,1000,0.010570055819945343,0.009508522619375577,0.9646155599810078,0.02833951806337889,False,3.5239699641140727,4.205617362111767,1.1921458119425001,2.5743964292676123,18.66094874413221,22.070088716558146,10.022850974600448,12.088853963813545,-0.0010615332005697656
19,1653.4672694131732,1000,0.025485978167478072,0.02139174397853589,0.8635255270352605,0.048222276097984754,False,3.255762115608285,3.972569536304696,1.020655368881932,4.167559607437162,20.753445623540543,24.78051618324865,11.53407044138623,13.435536693926862,-0.0040942341889421835
20,1845.5951662361622,1000,-0.02113328584187904,-0.021920755726014426,0.9737510038621539,0.04626161219370675,False,2.468018966403868,4.690911447648593,5.713045406456477,7.371083830569441,17.188093942667123,19.147789691359,12.815429246263253,14.879650142461923,-0.0007874698841353854
