episode,total_reward,steps,target_y,final_com_y,final_h,max_abs_xcom_y,failed,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg,final_error
1,-93.26098836399615,105,0.0,-0.26572573631863144,-7.857524543954382,0.43325706086874166,True,4.322519119792659,14.02182809937995,8.914371265365398,26.89314771175339,12.202190090955474,20.735140502003727,4.289064765567607,8.65335364368744,-0.26572573631863144
2,-93.21995116490871,105,0.0,-0.26178625912845466,-7.726208637615155,0.42620053278056236,True,4.2679346250522885,13.806820954196521,8.965465999821985,27.041746273624835,12.135795008736242,20.472639860570172,4.2950091347205905,8.657294110015101,-0.26178625912845466
3,-93.28197232540697,105,0.0,-0.26766551855003023,-7.922183951667675,0.43666063725357285,True,4.349866295714825,14.131008936618057,8.898219492432146,26.842743265036514,12.236366113835187,20.8656771989949,4.288170674526708,8.65543327259377,-0.26766551855003023
4,-93.35886640334502,105,0.0,-0.2747732697090211,-8.159108990300703,0.4492216400523535,True,4.455128434839062,14.530841734782243,8.835648307084739,26.643759625551436,12.35623032416899,21.338448335147845,4.28288839477467,8.660772516525643,-0.2747732697090211
5,-93.35765925236046,106,0.0,-0.2807480810917093,-8.358269369723644,0.45814050440605325,True,4.559376677611626,14.960513448549474,8.967591382086162,27.150452595182212,12.449526982019307,21.81252066671509,4.3155364625536405,8.779840503319958,-0.2807480810917093
6,-93.31943539343774,105,0.0,-0.2710704409244731,-8.035681364149102,0.44252555081870876,True,4.405307752829747,14.33114397642739,8.89983013860128,26.816655159001662,12.295368111453955,21.101086994947458,4.294099903292303,8.669851202612573,-0.2710704409244731
7,-93.34155061794445,106,0.0,-0.27926792056512484,-8.308930685504162,0.4555231988080306,True,4.535458076474691,14.875054442468985,8.978936850053737,27.18275876937091,12.429309562742619,21.713533667669555,4.317636454714679,8.777218669025094,-0.27926792056512484
8,-93.30462466552854,105,0.0,-0.2701853075473671,-8.00617691824557,0.4415616362098769,True,4.385754115206778,14.251063575872129,8.807650508389752,26.608582161415512,12.280064512394329,21.01651951207936,4.268557638414683,8.628920433863168,-0.2701853075473671
9,-93.22813826240599,105,0.0,-0.263027210601852,-7.767573686728401,0.428903633640062,True,4.281045004351732,13.849226330583162,8.867766615283942,26.79848492021669,12.162798843862486,20.536168093591044,4.273835364106503,8.622492853638377,-0.263027210601852
10,-93.34468371700495,105,0.0,-0.27357692233188025,-8.119230744396008,0.44721796142296943,True,4.43698278958589,14.458842514250355,8.829842772526773,26.64328265145832,12.332230691181248,21.255533741603998,4.278454328103733,8.653727586971666,-0.27357692233188025
11,-93.29406212083995,105,0.0,-0.26888634941042017,-7.9628783136806724,0.4389242708876695,True,4.370144860025722,14.195384718888297,8.875311460395729,26.777887962786703,12.259098074153039,20.94438970476036,4.28411696508471,8.65093530426962,-0.26888634941042017
12,-93.312178297434,106,0.0,-0.2768845004181133,-8.229483347270444,0.4515789526522698,True,4.499688030096645,14.72806584363866,8.963208139621287,27.16561118460622,12.38768272807635,21.545543651243754,4.308674682289678,8.760372216199963,-0.2768845004181133
13,-93.31484619993716,105,0.0,-0.2705943184897127,-8.019810616323758,0.4417114098114854,True,4.396764738023049,14.303477232150358,8.897399075716553,26.823071488491532,12.282122384769696,21.068388442331187,4.291252987886714,8.66804220639283,-0.2705943184897127
14,-93.26115969568491,105,0.0,-0.2655617683697775,-7.852058945659252,0.4327514252704606,True,4.322994403913619,14.023833776075607,8.950487349048167,26.983585768388558,12.199998860854992,20.732771059199592,4.296648386623505,8.667827118911156,-0.2655617683697775
15,-93.29476009961218,105,0.0,-0.2689556968297938,-7.9651898943264605,0.43902803678597657,True,4.369167619615836,14.199225645955705,8.871792118673051,26.774763460197118,12.263172532395185,20.948544159151442,4.28259318773225,8.650762469808976,-0.2689556968297938
16,-93.30042919144034,106,0.0,-0.2758251020542388,-8.194170068474628,0.4496874626180465,True,4.484212753369039,14.669022042898867,8.975190352883354,27.202521633107853,12.37214565779804,21.475832337250125,4.310487239051052,8.760654927162685,-0.2758251020542388
17,-93.28169799596071,106,0.0,-0.2743690556361146,-8.145635187870486,0.44746924986560604,True,4.458128528432845,14.568952790957566,8.935175861903462,27.11364728615807,12.341887596968808,21.363983047714502,4.29744356986467,8.737248903038672,-0.2743690556361146
18,-93.29529088083655,105,0.0,-0.2688719956470764,-7.962399854902548,0.4386934261397062,True,4.370774746588122,14.204067750324288,8.907892470093802,26.85076545715405,12.25926769620327,20.951178209474982,4.2934443176222175,8.66359759160377,-0.2688719956470764
19,-93.38917402178049,106,0.0,-0.28382609562678845,-8.460869854226281,0.46387799267688357,True,4.602494302914108,15.119617958850547,8.892002110963833,26.94467467263001,12.505521159493343,21.99952665366925,4.30085379463754,8.762134013861074,-0.28382609562678845
20,-93.20759397186339,105,0.0,-0.26102178817008187,-7.7007262723360626,0.4252792415693146,True,4.253755945586943,13.7429816677611,8.899011489616424,26.897686407975705,12.122052662076161,20.40467233800666,4.2766736252147535,8.62821557655946,-0.26102178817008187
