episode,step,ankle_eversion_deg,ankle_eversion_action,ankle_flexion_deg,ankle_flexion_action,hip_abduction_deg,hip_abduction_action,hip_flexion_deg,hip_flexion_action,reward,cum_reward,com_y,target_y,h,xcom_y,failed
1,1,0.00022716576895576648,1.0,0.030151842680846072,1.0,-0.03457276980345359,1.0,0.02856327361286078,0.8836262822151184,0.06219202280044556,0.06219202280044556,0.00015270010228486845,0.0,0.9949099965905044,0.0011729635039143208,False
1,2,-0.09292752723575004,1.0,-0.0868555444474832,1.0,0.35758171136563077,1.0,0.5260353652622745,0.5194647908210754,0.06730148196220398,0.12949350476264954,0.0002855042704728583,0.0,0.9904831909842381,0.004566692914898442,False
1,3,-0.2872041630467563,1.0,-0.2697807955169394,1.0,1.179747062018215,1.0,1.3177648765885233,0.11597444117069244,0.06986526399850845,0.199358768761158,0.0004828547071295464,0.0,0.9839048430956818,0.00684481201551056,False
1,4,-0.5612334233021282,1.0,-0.41827731095024917,1.0,2.345439172534257,1.0,1.9914679283177086,-0.17546223104000092,0.06969161331653595,0.26905038207769394,0.0007181345398496733,0.0,0.9760621820050109,0.00830281626970257,False
1,5,-0.8992474785720395,1.0,-0.4709642247545846,1.0,3.7907283116299046,0.7619484663009644,2.2941821481394213,-0.2627163827419281,0.07350322604179382,0.34255360811948776,0.0009595213979617997,0.0,0.9680159534012733,0.008741074416691997,False
1,6,-1.2631359226793621,1.0,-0.41929467021424716,1.0,5.358983746319328,0.3937961459159851,2.19011785734012,-0.1473623365163803,0.07823078334331512,0.4207843914628029,0.0011441613833005513,0.0,0.961861287223315,0.007096373722149845,False
1,7,-1.6014546010362263,1.0,-0.3001772487009111,1.0,6.838571352813768,0.15800216794013977,1.830990624241493,0.07538650929927826,0.0796920508146286,0.5004764422774315,0.0012140439431889203,0.0,0.9595318685603693,0.003466837857111666,False
1,8,-1.885204802879397,1.0,-0.17005770442925117,1.0,8.110392865873317,0.022281542420387268,1.4489961299507603,0.2758254110813141,0.07923291623592377,0.5797093585133553,0.0011489550330485538,0.0,0.9617014988983815,-0.0009493066915120983,False
1,9,-2.1077890081680435,1.0,-0.07439548106797463,1.0,9.147143103007942,-0.05174097418785095,1.230923519412293,0.38230565190315247,0.07851074635982513,0.6582201048731804,0.0009506339684444413,0.0,0.968312201051852,-0.005442613331833465,False
1,10,-2.27380505267286,1.0,-0.031941434961960655,1.0,9.967090388092686,-0.09826688468456268,1.253794987854617,0.38729414343833923,0.07840307056903839,0.7366231754422188,0.0006295631044275588,0.0,0.9790145631857481,-0.009720751617164868,False
1,11,-2.390773612337487,1.0,-0.03607382294436061,1.0,10.600557356798774,-0.13214389979839325,1.4906758482427616,0.31518933176994324,0.07883189618587494,0.8154550716280937,0.00019677498265802338,0.0,0.9934408339113993,-0.013754952720189591,False
