episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1779.13866263628,1000,-0.09448817735138633,-0.09297577097531551,0.9969751872478584,False,0.0015124063760708212
2,1811.6543790102005,1000,0.031486602975118516,0.03125766167304964,0.9995421173958623,False,-0.00022894130206887325
3,1771.5501036047935,1000,-0.07726559601571932,-0.07611523665888856,0.9976992812863384,False,0.001150359356830763
4,1812.1289669275284,1000,0.00878828015269964,0.008283676954050329,0.9989907936027014,False,-0.0005046031986493116
5,1739.0255905389786,1000,0.09983522301301428,0.09721423583022885,0.9947580256344292,False,-0.002620987182785431
6,1770.259256184101,1000,-0.075405525022562,-0.07399760715530636,0.9971841642654887,False,0.001407917867255637
7,1804.148806631565,1000,-0.006413009431255848,-0.006765539657917542,0.9992949395466766,False,-0.00035253022666169396
8,1805.778578698635,1000,-0.004206909167456613,-0.005040819795641035,0.9983321787436311,False,-0.0008339106281844222
9,1812.083416044712,1000,-0.012550399974098264,-0.013159126456833287,0.99878254703453,False,-0.0006087264827350225
10,1781.2946723103523,1000,0.09138520069067324,0.08933237768780354,0.9958943539942606,False,-0.0020528230028696998
11,1812.507770717144,1000,0.02437671855927656,0.023122995741843802,0.9974925543651345,False,-0.0012537228174327592
12,1907.099508523941,1000,0.07162609781678178,0.06948470366528543,0.9957172116970073,False,-0.002141394151496348
13,1852.3808883428574,1000,0.09696069504751109,0.09439457323365603,0.9948677563722899,False,-0.0025661218138550573
14,1857.1377485394478,1000,0.014491787636529405,0.013926780425111094,0.9988699855771633,False,-0.000565007211418311
15,1797.489562034607,1000,0.09518757747803505,0.0927131070758303,0.9950510591955906,False,-0.002474470402204748
16,1763.9665440917015,1000,0.06048419257318083,0.059063239212410086,0.9971580932784585,False,-0.0014209533607707422
17,1761.558324187994,1000,-0.09694206868065769,-0.09544761187094737,0.9970110863805793,False,0.0014944568097103178
18,1787.015361070633,1000,-0.07551960203042861,-0.07432485911669745,0.9976105141725377,False,0.0011947429137311588
19,1785.015245616436,1000,0.08326994587782993,0.08134626848602099,0.9961526452163821,False,-0.001923677391808945
20,1795.1730768680573,1000,-0.010262307947376259,-0.010694941474708031,0.9991347329453365,False,-0.000432633527331772
