episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1934.138907207176,1000,0.025505495845495746,0.026364569251896067,0.9817218424170144,False,0.0008590734064003215
2,1948.3489922881126,1000,-0.01685367115495793,-0.018207071233006123,0.971204253658549,False,-0.001353400078048194
3,1927.1584504889324,1000,0.029666842979095442,0.030630537010274832,0.9794958716770342,False,0.00096369403117939
4,1998.9356012940407,1000,-0.0018633266135085896,-0.002218200252961587,0.992449497032915,False,-0.0003548736394529974
5,1910.712593588978,1000,-0.03926963055876907,-0.04228423257402451,0.9358595315903098,False,-0.003014602015255441
6,1948.365275144577,1000,0.016967755013795535,0.0175458817550295,0.9876994310375752,False,0.0005781267412339648
7,1925.982684098184,1000,-0.029881356021103925,-0.032197779957460336,0.9507143843328423,False,-0.0023164239363564106
8,1959.104689359665,1000,0.011147363038955874,0.011482197581798205,0.9928758607905886,False,0.000334834542842331
9,1941.8402366936207,1000,-0.02045079662323032,-0.022065309575991905,0.9656486605795407,False,-0.0016145129527615869
10,1954.7787280976772,1000,0.013284511534959596,0.01371354241226874,0.9908716834615076,False,0.0004290308773091441
11,1978.6074188351631,1000,-0.005116894614828796,-0.005672743885734221,0.9881734197679697,False,-0.0005558492709054254
12,1977.5235695242882,1000,0.004874534608170618,0.004900997188982503,0.9994369663657046,False,2.6462580811885232e-05
13,1945.1252561807632,1000,0.01855567153923747,0.01919287965650466,0.9864423804836768,False,0.0006372081172671892
14,1910.9151913896203,1000,0.03937317704118118,0.040501563289502523,0.9759917819506096,False,0.0011283862483213447
15,1901.9215343743563,1000,-0.04414659582834116,-0.04751392314141845,0.9283547380196322,False,-0.0033673273130772896
16,1973.9078301787376,1000,0.005949949610781685,0.006032588552460428,0.9982417246451332,False,8.263894167874312e-05
17,1983.542992413044,1000,0.0034710418906774773,0.003422192267005265,0.9989606463048465,False,-4.884962367221251e-05
18,1932.5150237903,1000,-0.0249105186736309,-0.026855019513860427,0.9586276416972441,False,-0.0019445008402295266
19,1915.4683377034962,1000,0.03608586100929635,0.037170653529981376,0.9769193080705314,False,0.001084792520685024
20,1900.4201684347354,1000,0.04533259965218782,0.04650915123860931,0.974966987522947,False,0.0011765515864214926
