episode,total_reward,steps,mean_abs_com_x,max_abs_com_x,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg
1,99.98310746925466,1000,9.839770424111346e-05,0.0005679218735508354,0.2521993827751933,0.2801634186195052,0.30345494183621496,0.3406978662878701,0.2778501607474202,0.3040697972648388,1.4369168907090037,1.4757654587156046
2,99.98343036767609,1000,0.00010006049779691912,0.0005811904613230137,0.24712316506586468,0.28016279020466855,0.3032725227665935,0.34205237027364704,0.27790376883482576,0.3097440053009661,1.438044793851208,1.4841392445600003
3,99.9834663919121,1000,0.00012356256149840769,0.0008957716942019354,0.24661090155359874,0.28016199108984435,0.3060479255433769,0.3610258497717152,0.27701390540722026,0.30219777639181494,1.437412223967819,1.4819858025586647
4,99.98312061876291,1000,7.953082043857703e-05,0.00031510948227021264,0.2517201792658915,0.2801644720547632,0.2990382702528254,0.3142307558037764,0.27897950837268537,0.31564753120889283,1.4368698310939012,1.480010868902535
5,99.98340425156762,1000,0.00010092112019977246,0.0005993763923773955,0.2472642424932468,0.2801627865455615,0.30350701796707646,0.34315405313999203,0.27792836024929907,0.3092594658864614,1.438393516521219,1.4837819141174002
6,99.98325185204381,1000,8.147086896194673e-05,0.0002255472303422163,0.2491848653848977,0.28016395933140237,0.29998655556206133,0.32051507412025315,0.27903198416970143,0.3189251280870432,1.4373089378436956,1.482516317409824
7,99.98350486496604,1000,8.660783370577803e-05,0.00040133611343553117,0.24609952306959487,0.2801636169148313,0.2988864315808957,0.3150215658357427,0.27517066348350944,0.28064005630816663,1.440895215119329,1.4978002015487424
8,99.98344059485476,1000,8.37964161735463e-05,0.0002706615614385579,0.2470828429731667,0.2801637172934131,0.29935930274684247,0.3173472562965783,0.2780160996188902,0.3096728385713194,1.4392546986018546,1.4903010631756863
9,99.98363123525283,1000,0.00012147339767753823,0.0008774987676094612,0.2447903160472214,0.28016153923327425,0.30614145091693196,0.3630585654251054,0.27506007682458433,0.28305095131989955,1.4404802187262715,1.4916842616231296
10,99.98318151772632,1000,9.245809099282573e-05,0.0004699771658535006,0.2500628355451802,0.2801647093944612,0.2977286660528998,0.30565602270190184,0.27891109178869294,0.31369868301438086,1.4391233003349158,1.4854275902832317
11,99.98320197418086,1000,8.166207962315614e-05,0.0002820902818022223,0.25086019667528076,0.28016386657418346,0.3008834581660649,0.32563447373042537,0.27656057280976376,0.2920628864612755,1.4378951772251463,1.481925707527286
12,99.98340366841285,1000,9.200637621924052e-05,0.00043928934198074883,0.24756186935776087,0.2801641847348147,0.29804270380243897,0.3083800989113497,0.2777489167188163,0.3039017860656488,1.440526049607086,1.492092695494028
13,99.98359404066916,1000,9.710246640584798e-05,0.0005193531586558861,0.24567304277720942,0.280162480349091,0.3032007361661645,0.34225655690212137,0.27473089277332563,0.280599047852302,1.4406081446625623,1.492657434612845
14,99.98339793814087,1000,8.631011932035903e-05,0.000347864628112741,0.24735752321001384,0.28016329465527706,0.301504717462576,0.3304009872903796,0.27617927946480003,0.2899434201044092,1.4395110798280775,1.4881899878657323
15,99.98343438705034,1000,9.90556832892091e-05,0.0005434195942955023,0.24687616990129824,0.2801641334312024,0.2977036008050321,0.3067027216645667,0.2762159412053221,0.28923318180386687,1.441322924462785,1.4966891496666124
16,99.98340141250934,1000,9.754422309957367e-05,0.0005432359527276765,0.24732933466831877,0.28016289967127617,0.3030746093570666,0.3405127223245264,0.2772373759973027,0.3017803644338749,1.438440193783674,1.484622736193809
17,99.98328775801343,1000,9.917676779072698e-05,0.0005679139847453448,0.24920579608345492,0.28016300157487306,0.30351321819794874,0.343304929504481,0.27551420531493487,0.28361730642924177,1.4377056428513248,1.4819173817661582
18,99.98340825611561,1000,8.948643682500887e-05,0.00041389841536017426,0.24750171058278392,0.28016311912065195,0.30199235740162084,0.3347666210820139,0.2753308001559777,0.2830985128118255,1.438101421590919,1.486610392797251
19,99.98339558157943,1000,8.437318341285026e-05,0.00029758280772812317,0.24777479074484643,0.2801635217139252,0.3008422437970842,0.3258773981325968,0.27793556032603534,0.30757381219450936,1.4387645895297887,1.4860739787291886
20,99.98345722971534,1000,8.623525592882528e-05,0.00043137132167247907,0.24678639239651853,0.28016382780614724,0.29864933593938603,0.31353591274403075,0.2756800896454417,0.2855932606736036,1.4398852925274004,1.4944191556043307
