episode,step,ankle_deg,ankle_action,knee_deg,knee_action,hip_deg,hip_action,trunk_deg,trunk_action,reward,cum_reward,terminated,truncated
1,1,0.3927067036782589,-0.35983413457870483,-0.09640680259352456,0.061205580830574036,-0.1498563234076934,-0.04052802920341492,0.5067179699415949,-0.30730903148651123,0.9754399399945907,0.9754399399945907,False,False
1,2,-1.5687840785536364,0.03561150282621384,3.5290356796704265,-0.2285936027765274,1.3636189219932577,0.05099767446517944,-5.102435588776525,0.47106343507766724,0.969459188784734,1.9448991287793247,False,False
1,3,-3.054343108163054,1.0,6.709309710196338,0.13441722095012665,-1.2001010552229319,0.1657131016254425,-4.023891623196323,0.20951694250106812,0.8905377124285677,2.8354368412078923,False,False
1,4,1.048378199627077,-1.0,-2.3821072403646606,0.2360733598470688,2.207765202423444,-0.3185652792453766,1.4147944235509753,-0.9713956713676453,0.788535129399937,3.6239719706078293,False,False
1,5,-0.28578522492941255,0.598391056060791,0.14381665504975266,-0.6174026131629944,4.183627930567557,0.2145097702741623,-4.326540490238529,0.9288231134414673,0.8332406009583448,4.457212571566174,False,False
1,6,0.288836832494767,-0.7832234501838684,-0.9570895983227766,0.6455606818199158,4.920453130571753,-0.20371566712856293,-5.13041670675132,-0.7002829313278198,0.8432902044003024,5.300502775966477,False,False
1,7,-1.183457235887722,1.0,2.930490095533949,-0.4708707928657532,-0.42540868723403646,0.32067471742630005,-1.732377536638382,0.9451533555984497,0.7779945013266826,6.07849727729316,False,False
1,8,-0.8905792831002296,-0.7098209857940674,2.144956989822225,0.5237748026847839,-0.5556824034755926,-0.2758415639400482,0.21333431470006378,-1.0,0.8140809763526069,6.892578253645766,False,False
1,9,-1.4189325209185555,0.835936427116394,2.9094798138241935,-0.7124544382095337,0.5958495822687278,0.20038458704948425,-1.4417932101889794,0.8536441326141357,0.8016077974057912,7.694186051051557,False,False
1,10,0.13670188787701307,-1.0,-0.6520170202599959,0.621570885181427,3.856664720804254,-0.27315592765808105,-2.7352781684627567,-0.8704935312271118,0.7779545437789415,8.472140594830499,False,False
1,11,-0.6412688455644369,1.0,1.705759753380729,-0.5395342111587524,0.4324523049084088,0.32233524322509766,-1.0190636256281862,1.0,0.7604731305181248,9.232613725348624,False,False
1,12,-0.10296290045433315,-0.9033397436141968,0.6176480356731416,0.6010781526565552,0.5666664565297039,-0.2683851420879364,0.005222233897716994,-0.9799875020980835,0.7787269886084922,10.011340713957116,False,False
1,13,-1.003968007474258,1.0,2.531320504413828,-0.7434260845184326,-0.0432612747467193,0.2355218231678009,-0.6922555973398439,0.9594739675521851,0.7468934988837963,10.758234212840913,False,False
1,14,0.44679585917274933,-1.0,-0.6860443987515601,0.7080991268157959,2.2195767545963876,-0.2592655420303345,-0.7080209654940748,-0.9361275434494019,0.7554553033589347,11.513689516199847,False,False
1,15,0.058055982658546286,1.0,0.6623546754909869,-0.5801393985748291,-0.14617085113694953,0.30060553550720215,0.906321315447029,0.9751008749008179,0.7621037511598672,12.275793267359713,False,False
1,16,0.6859864511977444,-0.9776734113693237,-0.7884081976012934,0.6177400350570679,1.0534968113614744,-0.28200891613960266,0.9950210963069359,-1.0,0.7582266351569517,13.034019902516665,False,False
1,17,-0.2798647575961323,1.0,1.3241690002816928,-0.7184277176856995,0.2867579518988381,0.25133830308914185,0.2698255989883347,0.9684115648269653,0.7479485123802754,13.78196841489694,False,False
1,18,0.9084279449705563,-1.0,-1.359135871237402,0.6981907486915588,2.492322438379936,-0.27332568168640137,-0.07795212496757165,-0.9565311074256897,0.7522258415397471,14.534194256436688,False,False
1,19,0.3992415446699303,1.0,0.1883105288618454,-0.5798464417457581,0.35869794137839744,0.2956574261188507,1.1337404021355348,0.9760041236877441,0.7621584480355407,15.296352704472229,False,False
1,20,0.9880724949145433,-0.9868383407592773,-1.1271446683930786,0.6376477479934692,1.4275654043358652,-0.2791573405265808,1.2179589771906623,-0.9959293603897095,0.7548881004096899,16.051240804881918,False,False
1,21,-0.10601327176543093,1.0,1.3319134780745747,-0.7141159772872925,0.29756349485626704,0.25999894738197327,0.6417713049189747,0.9708330035209656,0.7476749193495982,16.798915724231517,False,False
1,22,0.9129922350339501,-1.0,-1.0217701556058199,0.6684798002243042,2.5406130289677136,-0.28321200609207153,0.04648035186954765,-0.9676732420921326,0.7535846354659453,17.55250035969746,False,False
1,23,0.38818418229252666,1.0,0.509476235919871,-0.59140944480896,0.7104303565268749,0.2924111485481262,0.9443528868197858,0.9828585386276245,0.7596158441742556,18.312116203871717,False,False
1,24,1.0878206115946882,-0.9921821355819702,-0.9959911370115085,0.6570860147476196,1.7822648548179605,-0.27563613653182983,1.1725039950446559,-0.9895272254943848,0.7527331385208849,19.064849342392602,False,False
1,25,-0.027213753905016184,1.0,1.587215033285703,-0.7034585475921631,0.31493771845342095,0.26928314566612244,0.9512440128610482,0.971110463142395,0.748676373038047,19.81352571543065,False,False
1,26,0.8206359699892632,-1.0,-0.42846813951741664,0.6335330605506897,2.5476415489774804,-0.2910638451576233,0.20507507618133586,-0.9801300764083862,0.7552105259010925,20.56873624133174,False,False
1,27,0.24759640652241494,1.0,1.1263859847554092,-0.6187283992767334,1.1268025387231422,0.2856612801551819,0.6634040499428133,0.9891830682754517,0.7553961574546514,21.324132398786393,False,False
1,28,1.1048448914913407,-1.0,-0.6926057619592065,0.6764567494392395,2.3628188757969664,-0.27394503355026245,0.9656263084684918,-0.9814224243164062,0.7502046172911958,22.07433701607759,False,False
1,29,0.01740025141061425,1.0,1.9364134761297334,-0.6800142526626587,0.48888500298071097,0.2800709903240204,1.2610320082187814,0.9714571833610535,0.7512746933972183,22.825611709474806,False,False
1,30,0.6125963666493688,-0.9987185001373291,0.4642926357683635,0.5939830541610718,2.4826979192718794,-0.2957823872566223,0.49504776287485297,-0.9932570457458496,0.7572891240806761,23.58290083355548,False,False
1,31,-0.1088066220439989,1.0,2.2310393330920926,-0.6711502075195312,1.5040599812637647,0.27237677574157715,0.34933898051529116,0.9920488595962524,0.7487164081004769,24.33161724165596,False,False
1,32,0.9253817513987252,-1.0,0.0331755195672507,0.6867272853851318,3.069534865570713,-0.2743959426879883,0.5843315622294761,-0.9707039594650269,0.750738119476521,25.08235536113248,False,False
1,33,-0.0081717175517214,1.0,2.4750744997364698,-0.6475889086723328,0.8067910051772423,0.289459764957428,1.5246456906901902,0.9730245471000671,0.7546711426628654,25.837026503795343,False,False
1,34,0.38296569775492634,-0.9408233165740967,1.5253553656459957,0.563706636428833,2.2978280148283785,-0.29481205344200134,1.027083601983919,-1.0,0.7704911844322045,26.60751768822755,False,False
1,35,-0.3232031227280007,1.0,3.2142726766623615,-0.7158157825469971,1.7970241640373412,0.24932976067066193,0.39062908694282916,0.9832137823104858,0.7453205614040113,27.35283824963156,False,False
