episode,total_reward,steps,mean_abs_com_x,max_abs_com_x,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg
1,99.98347137130331,1000,9.832471316709316e-05,0.0005534955707179654,0.2466105482428831,0.2801627363273429,0.3031501731736299,0.34111356481694166,0.27753842508217874,0.3055579473305305,1.4392534189956232,1.4869761278144393
2,99.98356922884503,1000,0.00010614555815591865,0.0006702507386145318,0.2457861502269836,0.280162269674637,0.3043058716663086,0.3487646467395177,0.2769881116431953,0.3002084159257986,1.4404632328106561,1.489469567300665
3,99.98342760043522,1000,0.00012093373370750566,0.0008559487822668033,0.2471869591131802,0.2801621765523607,0.3057336460582053,0.3585524923843319,0.2769851257747034,0.3013368021519995,1.4369018859261402,1.4805653589174936
4,99.98317453812676,1000,0.00010659707264101469,0.000649540232785837,0.24991887407605304,0.28016497677769703,0.2965551934822917,0.30213375780560014,0.2791789063218451,0.3175399209348407,1.438461902831853,1.4864221430194657
5,99.98319083348983,1000,0.00011088628119187455,0.0007285132897016624,0.25091858051738647,0.2801628839114157,0.30494469884592323,0.3510402331110498,0.2768596710130784,0.29561576347704627,1.4370743090517233,1.4764347581776898
6,99.98323643615687,1000,0.00010169488400672376,0.0006062520125561412,0.25020735840878694,0.28016309241720033,0.3037959056814882,0.3438957173915562,0.27697811101780484,0.2971688248700458,1.437237364603573,1.478533090449348
7,99.98309565737169,1000,0.00011002591291531046,0.0007219294089106491,0.2520105988240527,0.280163083859394,0.3045456520164147,0.3488111718158393,0.27836784518409535,0.31174903575789864,1.4354624092267736,1.4736129448555508
8,99.9835259570055,1000,9.522819914928488e-05,0.0004356148189705699,0.24653670828863214,0.2801639342302509,0.2979561193939786,0.30820895225469486,0.2780361093306691,0.30851367085963366,1.4414383071269443,1.4961442780643952
9,99.98356630443622,1000,0.0001152951740442508,0.000799941420419942,0.24584013910153787,0.2801620170979818,0.3051606174273173,0.35520703187556857,0.27778758247520463,0.31097196952747946,1.4387749315331155,1.4862150900322997
10,99.98345372108531,1000,8.737775215003826e-05,0.0003206063799697511,0.24682647580642658,0.280163876958722,0.2985528478393312,0.3120716292818064,0.2780529941361722,0.30968441232921146,1.4401964175809323,1.4932086760057421
11,99.98327931807574,1000,0.00011592686203878371,0.0007835768624087954,0.24939270826939894,0.2801625470267166,0.30534543654921753,0.35537905084533716,0.27573416848075033,0.28693609529655395,1.4367248327340416,1.478656595188609
12,99.98342893898264,1000,8.30248124948423e-05,0.00020397043599750976,0.2471617132448527,0.28016365674737026,0.2997650207520385,0.31963703896767703,0.2773614068767001,0.30224951719800014,1.4395134116378139,1.4901919135288473
13,99.98355256768303,1000,9.032258077038248e-05,0.00039298268460010924,0.24583111892947987,0.28016283618433874,0.30205985014726916,0.3338663790339696,0.2759956710356104,0.28846901955540905,1.4417243931184094,1.4943211512062426
14,99.98349847528779,1000,0.00010096462950530749,0.0005875159828456869,0.24625832008044715,0.2801625296771994,0.3036011365974831,0.3449491141697698,0.27562542967650927,0.28664215399202353,1.439297707650656,1.488513711814473
15,99.98341010801975,1000,8.237039588895355e-05,0.0002699204612398544,0.24736034204563284,0.2801637234355793,0.2996628349209093,0.31909683767016267,0.2763233820162104,0.29139844185504116,1.439581464554864,1.4905748490837167
16,99.98341623724741,1000,0.00011204490638065156,0.0006021653057510022,0.2471230519415482,0.28016444999561757,0.2965740045739124,0.30213303447351225,0.2786024716713604,0.3139280116593542,1.441003834508079,1.495658483502884
17,99.9832658565755,1000,9.043607360318035e-05,0.0004421519451634796,0.24930205781048345,0.28016335940825954,0.3022843325749657,0.334999490045377,0.2765536616735177,0.2933465946879266,1.4378572736201196,1.4822062016606128
18,99.9833997486505,1000,8.53578230234518e-05,0.00037978227819090597,0.24741351997093342,0.2801639775629936,0.29876882770044394,0.313091471765682,0.2767804803651817,0.2950203683007768,1.4402719882790733,1.4920113379620665
19,99.98323590923842,1000,9.286360523573297e-05,0.00048229199292640487,0.24988670727692863,0.280163416566443,0.3025679426994948,0.3357069821529779,0.27823476690805593,0.3093652501098541,1.4374647519214858,1.4793216459641247
20,99.9834946265113,1000,0.00011554645290333306,0.0006659462013256943,0.24641973583597712,0.2801642888614988,0.2965800583060881,0.3021328246254438,0.2761167081350264,0.2880771338150419,1.4424902087054052,1.5011981938986148
