rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/explained_variance,train/clip_range
63.98360655737705,4096,1,-321.4669169508197,1,2579,,,,,,,,,,,
69.21,8192,2,-309.86156178,3,2281,0.0003,-5.681580436229706,-0.007254331966396421,0.04892578125,2.556642532348633,0.00625055,10,6.280378180742264,1.0030975341796875,-0.03145027160644531,0.2
78.65,12288,3,-315.14043037999994,5,2400,0.0003,-5.689120554924012,-0.010455789015395567,0.0598388671875,1.460871934890747,0.00840591,20,3.8488346934318542,1.0040524005889893,0.15828734636306763,0.2
96.99,16384,4,-334.21357021999995,6,2441,0.0003,-5.688117557764054,-0.010478047525975854,0.0716064453125,1.2510015964508057,0.008184914,30,2.9597998052835464,1.0013039112091064,0.2350550889968872,0.2
110.29,20480,5,-333.4431278299999,8,2464,0.0003,-5.684962338209152,-0.006753867509542033,0.0566650390625,0.8772490620613098,0.007790285,40,2.389413794875145,1.0051474571228027,0.2561671733856201,0.2
125.1,24576,6,-346.70263201,9,2484,0.0003,-5.711363685131073,-0.007307157103787177,0.062255859375,0.3805827498435974,0.0077623003,50,1.1040861636400223,1.0131478309631348,0.521892637014389,0.2
132.04,28672,7,-352.42793852999995,11,2482,0.0003,-5.742320024967194,-0.007240041630575433,0.0483154296875,0.228374645113945,0.0061192396,60,0.8051499925553799,1.0216171741485596,0.6861003041267395,0.2
131.61,32768,8,-339.483511,13,2496,0.0003,-5.781171268224716,-0.0054365082760341465,0.0365234375,0.13623011112213135,0.0054513803,70,0.5806715603917837,1.0321788787841797,0.8044433891773224,0.2
136.02,36864,9,-318.12222278999997,15,2454,0.0003,-5.803632301092148,-0.006100854292162694,0.044482421875,0.07138243317604065,0.005851929,80,0.3266893343999982,1.0324474573135376,0.8876463621854782,0.2
138.46,40960,10,-313.26851682,16,2495,0.0003,-5.8115811228752134,-0.0072465014047338626,0.043408203125,0.02611599862575531,0.006529373,90,0.2963864827528596,1.0377663373947144,0.8584122508764267,0.2
140.4,45056,11,-288.15668193,17,2508,0.0003,-5.820077228546142,-0.005411952122813091,0.032421875,0.0990881621837616,0.006033169,100,0.6083527181297541,1.0362906455993652,0.7482667863368988,0.2
139.78,49152,12,-284.73689311,19,2463,0.0003,-5.821673315763474,-0.00971830552443862,0.05068359375,0.07126592099666595,0.00652031,110,0.3564298735931516,1.040550708770752,0.8533372730016708,0.2
147.31,53248,13,-279.93722071,21,2468,0.0003,-5.837638807296753,-0.007617266933084466,0.0554443359375,0.06514455378055573,0.006634239,120,0.29776718057692053,1.0433331727981567,0.8774859234690666,0.2
153.45,57344,14,-263.78111282000003,22,2496,0.0003,-5.846820622682571,-0.007401847909204662,0.045068359375,0.12672188878059387,0.006764522,130,0.6387079864740371,1.0453846454620361,0.7001816630363464,0.2
161.89,61440,15,-264.44034280999995,24,2481,0.0003,-5.8652255713939665,-0.009927986742695794,0.070556640625,0.02621510624885559,0.0075938515,140,0.2780207980424166,1.0532212257385254,0.8600013852119446,0.2
180.88,65536,16,-251.7942116,26,2463,0.0003,-5.893998998403549,-0.007197037120931782,0.046337890625,0.048046693205833435,0.006477891,150,0.30634716227650644,1.05945885181427,0.8248160481452942,0.2
201.36,69632,17,-254.84289289,28,2443,0.0003,-5.906059187650681,-0.0073288924097141715,0.052001953125,0.029335811734199524,0.007172327,160,0.2629057062789798,1.0600265264511108,0.8594552427530289,0.2
226.29,73728,18,-243.25940784,30,2438,0.0003,-5.912368631362915,-0.006406034322571941,0.039794921875,0.02495472878217697,0.0060588853,170,0.2844532081857324,1.0645346641540527,0.8521661758422852,0.2
238.2,77824,19,-257.44575068,31,2439,0.0003,-5.925184482336045,-0.005042201026662951,0.03349609375,0.04294056445360184,0.006185565,180,0.34956242982298136,1.0652477741241455,0.8059940487146378,0.2
255.97,81920,20,-260.91837259000005,33,2452,0.0003,-5.926315557956696,-0.005700984250870534,0.0416748046875,0.3076368272304535,0.0064653517,190,0.9209004629403352,1.0670462846755981,0.5615488588809967,0.2
275.79,86016,21,-257.60422586,35,2439,0.0003,-5.929585087299347,-0.010434365284163504,0.075927734375,0.08159984648227692,0.008468889,200,0.4195314459502697,1.065629482269287,0.7990056574344635,0.2
302.71,90112,22,-259.85624787000006,37,2409,0.0003,-5.924142354726792,-0.009323460422456265,0.07294921875,0.05455773323774338,0.0077723432,210,0.3274092463776469,1.065701961517334,0.7910408675670624,0.2
318.26,94208,23,-242.81755947,39,2406,0.0003,-5.92321041226387,-0.007789207730820635,0.04814453125,0.043547943234443665,0.005991939,220,0.2739237241446972,1.0647499561309814,0.8139824122190475,0.2
370.78,98304,24,-227.74163181,40,2402,0.0003,-5.913786071538925,-0.008010835337336175,0.06337890625,-0.017633065581321716,0.0077108303,230,0.13360207211226224,1.0607625246047974,0.74858358502388,0.2
377.86,102400,25,-224.53790123000002,42,2404,0.0003,-5.899497598409653,-0.006674193120852578,0.0639892578125,-0.02793135493993759,0.0071769147,240,0.13670375160872936,1.0575538873672485,0.8155346810817719,0.2
414.76,106496,26,-197.36890668000004,44,2401,0.0003,-5.896852111816406,-0.007061209648963995,0.0571533203125,-0.0111989825963974,0.006726803,250,0.16524242088198662,1.0605360269546509,0.7445746958255768,0.2
428.97,110592,27,-188.61997044,45,2413,0.0003,-5.909964376688004,-0.005537570765591226,0.061181640625,-0.0217847041785717,0.0074297334,260,0.1516402941197157,1.0643634796142578,0.49906855821609497,0.2
468.03,114688,28,-165.27073684000007,47,2425,0.0003,-5.916441351175308,-0.008370393581571989,0.070263671875,-0.03510359674692154,0.007368588,270,0.10330023509450256,1.0632272958755493,0.6856746077537537,0.2
491.44,118784,29,-142.30315876000003,49,2421,0.0003,-5.912347692251205,-0.009909985467675141,0.0726318359375,-0.05230369418859482,0.0073899766,280,0.044109011767432094,1.0634844303131104,0.7512827217578888,0.2
530.58,122880,30,-93.07539129999999,51,2409,0.0003,-5.907633125782013,-0.007154992144205607,0.0557861328125,-0.04192075505852699,0.0067921476,290,0.05031629204750061,1.0609171390533447,0.7791373282670975,0.2
543.3,126976,31,-71.51147136,52,2412,0.0003,-5.900353825092315,-0.008623758857720532,0.05927734375,-0.05776408314704895,0.0073469672,300,0.03003283857833594,1.0603346824645996,0.8432507663965225,0.2
590.17,131072,32,-22.650541420000003,54,2410,0.0003,-5.90392038822174,-0.0076777333772042764,0.0581298828125,-0.05192796513438225,0.0065445886,310,0.03269140080083162,1.0608196258544922,0.8691932857036591,0.2
597.73,135168,33,-19.406938999999998,56,2409,0.0003,-5.9216631054878235,-0.006195154585293494,0.0514892578125,-0.035992998629808426,0.006305555,320,0.0910682081244886,1.0707865953445435,0.7032441198825836,0.2
640.41,139264,34,38.30041461000002,57,2408,0.0003,-5.937318581342697,-0.006465241761179641,0.04853515625,-0.06778788566589355,0.0056652823,330,0.02745811124332249,1.0673034191131592,0.8834029510617256,0.2
641.73,143360,35,58.6943732,59,2416,0.0003,-5.9284101009368895,-0.00620544156699907,0.05400390625,-0.01768086478114128,0.0067300303,340,0.10149410460144281,1.0679423809051514,0.7856411635875702,0.2
654.58,147456,36,104.18146390999999,61,2415,0.0003,-5.930099523067474,-0.005449242374743335,0.030615234375,0.013383433222770691,0.005188269,350,0.13744121557101607,1.067583680152893,0.9075658172369003,0.2
678.17,151552,37,131.65998894000003,62,2410,0.0003,-5.92546591758728,-0.00810515420162119,0.0578125,-0.04102987051010132,0.007034883,360,0.07657009707763791,1.0665631294250488,0.8998334929347038,0.2
686.07,155648,38,174.41492509999998,64,2410,0.0003,-5.926259082555771,-0.006243586377240718,0.066357421875,-0.02758985385298729,0.006521764,370,0.1377921350300312,1.06944739818573,0.9047069028019905,0.2
709.13,159744,39,213.84206756,66,2408,0.0003,-5.938935244083405,-0.007298950690892525,0.0322021484375,-0.04618147760629654,0.0047144834,380,0.07717564981430769,1.0722837448120117,0.9286332353949547,0.2
719.51,163840,40,249.20810571,67,2411,0.0003,-5.943729561567307,-0.005419170108507387,0.045556640625,-0.04931098222732544,0.005435997,390,0.07544306311756373,1.07218337059021,0.9579320624470711,0.2
