episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1905.0251627452672,1000,0.03674206068322103,0.04054280610932365,0.9191330760403698,False,0.0038007454261026197
2,1905.683829665184,1000,0.03475108932689021,0.038388991565771365,0.9225978247046562,False,0.0036379022388811563
3,1930.3968955874443,1000,-0.01867728141554404,-0.020011745902534715,0.9716071385746665,False,-0.001334464486990674
4,1901.2304553762078,1000,-0.036225049052094074,-0.039086707575807976,0.9391136484316192,False,-0.0028616585237139017
5,1893.040242370218,1000,-0.04348848970056952,-0.04693487779602908,0.9266725937136263,False,-0.0034463880954595655
6,1921.8991181254387,1000,0.023435305982167184,0.026097909689684333,0.9433488572868691,False,0.0026626037075171485
7,1916.4886416047812,1000,0.028317913834129585,0.031411548631585004,0.9341779830328634,False,0.003093634797455419
8,1958.4318959116936,1000,-0.008977739191320604,-0.009402408543070504,0.9909644818776617,False,-0.0004246693517499008
9,1892.335340759717,1000,0.04654909240551294,0.05111471400658795,0.9028591148707446,False,0.004565621601075008
10,1997.0746250748634,1000,-0.004261410017622355,-0.004232287452317865,0.9993803709509683,False,2.91225653044902e-05
11,1990.9088553786278,1000,0.002191661976966658,0.0028470692448855357,0.9860551645123643,False,0.0006554072679188778
12,1902.5715432427824,1000,-0.03458993345815509,-0.03731631279965316,0.9419919289042963,False,-0.002726379341498074
13,1951.686046719551,1000,-0.010567960417000317,-0.011144272705583973,0.9877380364131138,False,-0.0005763122885836559
14,1990.941837966442,1000,0.0012145481013557669,0.0017750048689573973,0.9880753879233696,False,0.0005604567676016305
15,1916.2526763528585,1000,-0.025962390797144495,-0.02795110645623097,0.9576869008705006,False,-0.001988715659086475
16,1891.5319272466004,1000,-0.0435894676647088,-0.04704381006817576,0.9265033531177242,False,-0.0034543424034669604
17,1890.8864994309843,1000,-0.044590201560420706,-0.04812312708549867,0.9248313718068518,False,-0.0035329255250779665
18,1993.4051205515862,1000,0.0007882471489846152,0.0013072750760486824,0.9889568526156581,False,0.0005190279270640673
19,1999.55169069767,1000,-0.0009503395377039453,-0.0006002225476699583,0.9925507023397024,False,0.000350116990033987
20,1960.0241276621819,1000,0.008221235755077806,0.009460674770181067,0.9736289571254625,False,0.0012394390151032608
