episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,138.6062623653561,1000,-0.09448817735138633,-0.09988210687046657,0.9892121409618395,False,-0.005393929519080243
2,160.92085600737482,1000,0.031486602975118516,-0.026625561543700393,0.8837756709623622,False,-0.05811216451881891
3,122.02625793591142,1000,-0.07726559601571932,-0.08993602693643112,0.9746591381585764,False,-0.012670430920711795
4,110.43052208982408,1000,0.00878828015269964,-0.03985048288457245,0.9027224739254558,False,-0.04863876303727209
5,29.855903109535575,1000,0.09983522301301428,0.012864224973525474,0.8260580039210224,False,-0.08697099803948881
6,130.24320619553328,1000,-0.075405525022562,-0.08885954809234194,0.9730919538604401,False,-0.013454023069779941
7,123.14358627982438,1000,-0.006413009431255848,-0.04871790475184756,0.9153902093588165,False,-0.042304895320591715
8,175.05715768039227,1000,-0.004206909167456613,-0.04743084698971958,0.9135521243554741,False,-0.04322393782226297
9,171.38728218339384,1000,-0.012550399974098264,-0.05229842558533352,0.9205039487775295,False,-0.039748025611235256
10,96.69036580156535,1000,0.09138520069067324,0.008021635539005506,0.8332728696966645,False,-0.08336356515166773
11,95.94806128181517,1000,0.02437671855927656,-0.030764833353660034,0.8897168961741269,False,-0.0551415519129366
12,79.8353836517781,1000,0.07162609781678178,-0.0033517544883825763,0.8500442953896713,False,-0.07497785230516436
13,56.0090840421617,1000,0.09696069504751109,0.011218403712958363,0.8285154173308945,False,-0.08574229133455273
14,158.6218936983496,1000,0.014491787636529405,-0.03652491367672906,0.897966597373483,False,-0.051016701313258465
15,94.41972124483436,1000,0.09518757747803505,0.010202406980472799,0.8300296590048755,False,-0.08498517049756225
16,92.35063270665705,1000,0.06048419257318083,-0.009792235596577952,0.8594471436604825,False,-0.07027642816975878
17,1559.052869554609,1000,-0.09694206868065769,-0.10129595912079672,0.991292219119722,False,-0.0043538904401390355
18,151.66790287941694,1000,-0.07551960203042861,-0.08892558105917084,0.9731880419425155,False,-0.01340597902874223
19,94.83614957891405,1000,0.08326994587782993,0.0033585093962976986,0.8401771270369356,False,-0.07991143648153223
20,137.6148126795888,1000,-0.010262307947376259,-0.05096359856045241,0.9185974187738477,False,-0.04070129061307615
