episode,total_reward,steps,mean_abs_angle_deg,max_abs_angle_deg,mean_abs_action
1,2350.808747014058,1000,0.33732862878798353,7.63933415714972,0.010086541391909122
2,2351.239577967446,1000,0.3289551359588544,7.32104064098868,0.009625426474958659
3,2350.5659432571288,1000,0.34112850108394416,7.745262405645123,0.010295910891145468
4,2350.9952403538396,1000,0.3344203326933058,7.5234199178048105,0.009884133353829384
5,2350.897863476388,1000,0.33560653343697994,7.585882519464131,0.01002282153069973
6,2350.4974658189826,1000,0.3422123805714083,7.776703004624086,0.0103513328358531
7,2350.517612241176,1000,0.3453327353028527,7.92739383056206,0.010464135775342583
8,2350.874343670634,1000,0.33765962152659684,7.643065076108924,0.010037202225998043
9,2350.9209608247447,1000,0.33453202666075266,7.530793810591878,0.009940337004140019
10,2350.8765339917436,1000,0.33688799345801224,7.63860871360098,0.010062233790755272
11,2351.1203322768756,1000,0.33203342125896174,7.459599967988444,0.00980610115081072
12,2350.907239314038,1000,0.3352352091171413,7.5731311029514945,0.01000205877609551
13,2350.568902291053,1000,0.3450223656903099,7.924794226416033,0.010408216485753656
14,2350.996753531201,1000,0.33606181011128816,7.585160739193927,0.009925074573606254
15,2350.9045152174485,1000,0.33653425363879513,7.598436562199839,0.009983401767909527
16,2350.554216455863,1000,0.3432677777102744,7.845388009014145,0.010403536444529892
17,2350.4295232666946,1000,0.34712408174786435,7.980595072663445,0.010513750752434135
18,2350.867466215466,1000,0.3356344686295028,7.578310553566775,0.010013546232134104
19,2350.7674729563196,1000,0.33884952109856636,7.681909825553291,0.010104129301384091
20,2350.6803183790753,1000,0.33833985115684845,7.6514405249331485,0.010171360079199075
