episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1788.3054909408092,1000,-0.09448817735138633,-0.09564489612513792,0.9976865624524969,False,-0.0011567187737515916
2,1813.1767247319221,1000,0.031486602975118516,0.03232441266289205,0.998324380624453,False,0.0008378096877735344
3,1778.7924010157585,1000,-0.07726559601571932,-0.07830670122471589,0.9979177895820068,False,-0.0010411052089965706
4,1817.5178121328354,1000,0.00878828015269964,0.008641306994184979,0.9997060536829707,False,-0.00014697315851466136
5,1741.782123863697,1000,0.09983522301301428,0.10047463410598749,0.9987211778140536,False,0.000639411092973205
6,1778.5111677646637,1000,-0.075405525022562,-0.07613182503709637,0.9985473999709312,False,-0.0007263000145343729
7,1810.1648034453392,1000,-0.006413009431255848,-0.0068752755164405025,0.9990754678296306,False,-0.0004622660851846547
8,1808.4691672325134,1000,-0.004206909167456613,-0.005088757984473599,0.998236302365966,False,-0.0008818488170169864
9,1815.1235585212708,1000,-0.012550399974098264,-0.013451423129061382,0.9981979536900738,False,-0.0009010231549631178
10,1776.8675773143768,1000,0.09138520069067324,0.09231567166168285,0.9981390580579808,False,0.0009304709710096087
11,1816.1748176813126,1000,0.02437671855927656,0.02397559927570639,0.9991977614328597,False,-0.0004011192835701727
12,1906.5759529471397,1000,0.07162609781678178,0.07185855193052347,0.9995350917725166,False,0.00023245411374168967
13,1844.1118894219398,1000,0.09696069504751109,0.09757620636897822,0.9987689773570657,False,0.0006155113214671298
14,1862.1684701442719,1000,0.014491787636529405,0.014462007769373056,0.9999404402656873,False,-2.9779867156349074e-05
15,1798.8559315800667,1000,0.09518757747803505,0.09582684763017964,0.9987214596957108,False,0.0006392701521445859
16,1763.3699275553226,1000,0.06048419257318083,0.06106587520728255,0.9988366347317965,False,0.0005816826341017226
17,1774.760209530592,1000,-0.09694206868065769,-0.09818137530732264,0.9975213867466701,False,-0.0012393066266649516
18,1798.6969186067581,1000,-0.07551960203042861,-0.07646698706932804,0.9981052299222011,False,-0.0009473850388994343
19,1785.734373062849,1000,0.08326994587782993,0.0840814883537148,0.9983769150482302,False,0.0008115424758848716
20,1801.253439128399,1000,-0.010262307947376259,-0.01092046150404191,0.9986836928866687,False,-0.0006581535566656509
