episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1743.11775277555,1000,0.02578217686960399,0.024729690866921537,0.7895027994635093,False,-0.0010524860026824533
2,1994.6845825910568,1000,-0.0008612188149709626,-0.0009962470915853734,0.9729943446771179,False,-0.00013502827661441077
3,1956.8403911441565,1000,-0.010742382138498763,-0.010878747191809559,0.9727269893378407,False,-0.00013636505331079615
4,1981.834030950442,1000,0.004701688317610225,0.004541165260194605,0.967895388516876,False,-0.0001605230574156201
5,-802.9167972803116,1000,-0.03923239148281989,0.011169108089562708,0.0,False,0.050401499572382595
6,1950.0940999537706,1000,-0.01225613095635579,-0.012385040428232297,0.9742181056246987,False,-0.0001289094718765066
7,-806.3083466887474,1000,-0.043916535263181504,0.01919886182188619,0.0,False,0.06311539708506769
8,1815.6785476228688,1000,0.024921239080318958,0.02388482070925012,0.7927163257862327,False,-0.0010364183710688361
9,1852.512988083181,1000,0.024041311165498763,0.02302404630516541,0.7965470279333293,False,-0.0010172648603333535
10,-804.5074191093445,1000,0.039828760640637284,-0.021136268208886953,0.0,False,-0.06096502884952423
11,1895.5455505466089,1000,0.02210899263060738,0.021143747119810027,0.8069508978405295,False,-0.0009652455107973523
12,1875.4931886456907,1000,0.023191161340652425,0.022195080846891847,0.8007839012478846,False,-0.0009960804937605774
13,-803.3321570158005,1000,-0.039815011662821434,0.01212359497533023,0.0,False,0.05193860663815166
14,1901.6497478410602,1000,0.02112923715595498,0.020195667437026193,0.8132860562142427,False,-0.0009335697189287867
15,-804.4919121861458,1000,0.04322880172485477,-0.028077955513941027,0.0,False,-0.0713067572387958
16,1986.036302190274,1000,-0.0030210526556038106,-0.003170049683278183,0.9702005944651255,False,-0.00014899702767437245
17,1946.925938628614,1000,0.011742055096211595,0.011264452007489007,0.9044793822554823,False,-0.00047760308872258836
18,1961.5358173847198,1000,-0.008376477321875332,-0.008524477738318872,0.970399916711292,False,-0.00014800041644353994
19,-800.3791841268539,1000,-0.03323461289771723,0.0006850623603989018,0.0,False,0.03391967525811613
20,1988.2113237380981,1000,-0.002490176915204506,-0.002636190861074601,0.970797210825981,False,-0.00014601394587009488
