step,reward,com_y,target_y,h,failed,success,xcom_y,com_y_dot,ankle_eversion_action,ankle_eversion_torque_nm,ankle_eversion_angle_rad,ankle_flexion_action,ankle_flexion_torque_nm,ankle_flexion_angle_rad,hip_abduction_action,hip_abduction_torque_nm,hip_abduction_angle_rad,hip_flexion_action,hip_flexion_torque_nm,hip_flexion_angle_rad
10,-0.2975250780582428,0.011731213741719992,0.045,0.29215348386638296,False,False,0.05407409989160465,0.1522553256419862,-1.0,-30.0,-0.06171852122101699,-0.094406858086586,-4.7203429043293,-0.07035281154094741,-0.1774088442325592,-8.87044221162796,0.2086681239808385,0.24856454133987427,18.64234060049057,0.2541900441799582
11,-0.2383134365081787,0.01332275021696564,0.045,0.3260159620630988,False,False,0.057584090495582156,0.15915364752456476,-1.0,-30.0,-0.06463897046610557,-0.08219057321548462,-4.109528660774231,-0.07572382414373756,-0.24796876311302185,-12.398438155651093,0.2118251697457238,0.2593010663986206,19.447579979896545,0.2729835068332534
12,-0.16913558542728424,0.014971431845943019,0.045,0.36109429459453235,False,False,0.06082200437523959,0.16486816289773795,-0.6817504167556763,-20.452512502670288,-0.06678347941652515,-0.07489629089832306,-3.744814544916153,-0.08107029525870606,-0.3175991475582123,-15.879957377910614,0.21103156713775514,0.2720920145511627,20.406901091337204,0.29181015902301316
13,-0.0967978909611702,0.01663094835786139,0.045,0.3964031565502424,False,False,0.06278284382143513,0.16595165119183702,-0.34122636914253235,-10.23679107427597,-0.06837812055573453,-0.0809212476015091,-4.046062380075455,-0.08631708633701565,-0.22387686371803284,-11.193843185901642,0.20749521639382618,0.24888411164283752,18.666308373212814,0.3103448878540631
14,-0.02984992228448391,0.01828119939069969,0.045,0.4315148806531849,False,False,0.06417541774238437,0.16502510328383,-0.03805457055568695,-1.1416371166706085,-0.06945588109871653,-0.06475953757762909,-3.2379768788814545,-0.09128547034119949,-0.23495851457118988,-11.747925728559494,0.20157845826206558,0.20184972882270813,15.13872966170311,0.327860712088941
15,0.03311970829963684,0.019883085905248385,0.045,0.4655975724520933,False,False,0.0644322654000026,0.16018865145486955,0.25726428627967834,7.71792858839035,-0.07011284923986869,-0.0539717860519886,-2.69858930259943,-0.09581861102623146,-0.1847972273826599,-9.239861369132996,0.19390833076567832,0.15397615730762482,11.548211798071861,0.3437020199279645
16,0.09077760577201843,0.021412032688207117,0.045,0.4981283550682366,False,False,0.06393272566697618,0.15289467829587322,0.4881419241428375,14.644257724285126,-0.07042699082573885,-0.03131229057908058,-1.565614528954029,-0.09978499070867967,-0.15705254673957825,-7.852627336978912,0.18500556530902157,0.1021849662065506,7.663872465491295,0.3573195726456631
17,0.1440918892621994,0.022847919522697522,0.045,0.5286791387807983,False,False,0.06278057376686491,0.14358868344904047,0.6537528038024902,19.612584114074707,-0.07049745716022321,-0.00547630712389946,-0.273815356194973,-0.1030840965039454,-0.11716282367706299,-5.858141183853149,0.17544056939211813,0.05147174000740051,3.8603805005550385,0.36829178838158777
18,0.1938256174325943,0.02418261308385334,0.045,0.5570768741245391,False,False,0.06130103719592281,0.13346935611558175,0.7392932176589966,22.178796529769897,-0.07041320473427826,0.027587901800870895,1.3793950900435448,-0.10565344374008931,-0.08858975768089294,-4.429487884044647,0.16568856333179788,0.0055853575468063354,0.41890181601047516,0.3763635967994212
19,0.24053044617176056,0.025415982628183256,0.045,0.5833187793230481,False,False,0.0597165405732613,0.1233369544329916,0.7575099468231201,22.725298404693604,-0.07024539942358381,0.06057795509696007,3.0288977548480034,-0.10746545299285991,-0.06804981827735901,-3.4024909138679504,0.15609643943160523,-0.035233981907367706,-2.642548643052578,0.3814311995470857
20,0.28440338373184204,0.02655442935446696,0.045,0.6075410500950418,False,False,0.05821514132988221,0.11384467262837046,0.7246265411376953,21.73879623413086,-0.07003501618330611,0.08909358084201813,4.454679042100906,-0.10852869581217296,-0.06051291897892952,-3.025645948946476,0.14683819746043214,-0.0691240057349205,-5.184300430119038,0.38354230099877934
21,0.32548826932907104,0.027607445166353013,0.045,0.6299456418372982,False,False,0.05689228525238274,0.10530158118860523,0.6638604998588562,19.915814995765686,-0.06979976076624668,0.10808725655078888,5.404362827539444,-0.10889117017155303,-0.06067875400185585,-3.0339377000927925,0.13796133067256466,-0.09409154206514359,-7.056865654885769,0.38290205522849563
22,0.3639509975910187,0.02858583351776305,0.045,0.6507624152715543,False,False,0.05579525059361759,0.09783883514100367,0.5945796966552734,17.837390899658203,-0.06954862547388681,0.1171540915966034,5.85770457983017,-0.10864174040501366,-0.06264948844909668,-3.132474422454834,0.12946684574484296,-0.10779222100973129,-8.084416575729847,0.37987561346019155
23,0.4000624716281891,0.029500392890723003,0.045,0.670221125334532,False,False,0.05493469756497231,0.09145593729599534,0.5291861891746521,15.875585675239563,-0.06929198374903653,0.11892130970954895,5.9460654854774475,-0.10790251341309154,-0.0623638816177845,-3.118194080889225,0.12136323484511065,-0.10992752760648727,-8.244564570486546,0.3749586813866212
24,0.4340759217739105,0.03036099862717723,0.045,0.688531885684622,False,False,0.05429482857037766,0.08606057364542279,0.47305431962013245,14.191629588603973,-0.06904134686771585,0.11693549156188965,5.846774578094482,-0.10681069281070829,-0.05992422252893448,-2.996211126446724,0.11366772718721291,-0.10309051722288132,-7.731788791716099,0.3687069913156908
25,0.46618226170539856,0.031175843651682113,0.045,0.7058690138655769,False,False,0.05383704775533392,0.08148450245048823,0.42830637097358704,12.849191129207611,-0.06880515971148718,0.11357474327087402,5.678737163543701,-0.10549687452651656,-0.05669165402650833,-2.8345827013254166,0.10638730538549644,-0.09153182059526443,-6.864886544644833,0.36164973358403635
26,0.49655455350875854,0.03195108729380778,0.045,0.7223635594427187,False,False,0.05351095926448443,0.0775243642125667,0.3954033851623535,11.862101554870605,-0.06858689132474625,0.10993954539299011,5.496977269649506,-0.10406893795431779,-0.053406067192554474,-2.6703033596277237,0.09951033334455937,-0.0790461078286171,-5.928458087146282,0.3542239626554997
27,0.5253645181655884,0.032690968148912106,0.045,0.7381057052960023,False,False,0.05326738521679726,0.0739880855104326,0.3732987344264984,11.198962032794952,-0.0683862449933738,0.10640865564346313,5.320432782173157,-0.10260568935777203,-0.050013259053230286,-2.5006629526615143,0.0930124676960505,-0.06786596029996872,-5.089947022497654,0.3467481678566558
28,0.5527648329734802,0.033398231056972476,0.045,0.7531538522760102,False,False,0.053067528447892906,0.07072629080603701,0.35970932245254517,10.791279673576355,-0.06820138791401145,0.10307945311069489,5.153972655534744,-0.10115852382894679,-0.046272166073322296,-2.313608303666115,0.08686661134723342,-0.058789171278476715,-4.409187845885754,0.3394287461660963
29,0.5788757801055908,0.03407463411610051,0.045,0.7675454067255428,False,False,0.052885705323841584,0.06764030591280348,0.35187456011772156,10.556236803531647,-0.0680304802094771,0.0999450832605362,4.99725416302681,-0.09975709097934686,-0.04214254394173622,-2.107127197086811,0.0810490409391781,-0.05178242176771164,-3.883681632578373,0.33238308591471616
30,0.6037856936454773,0.034721372685172995,0.045,0.7813058018121914,False,False,0.05270746117403689,0.06467385690724844,0.34732088446617126,10.419626533985138,-0.06787217705060969,0.09696298837661743,4.848149418830872,-0.09841574077735632,-0.037787459790706635,-1.8893729895353317,0.0755406494123029,-0.046476610004901886,-3.4857457503676414,0.32566594966204676
31,0.6275591850280762,0.03533936841525088,0.045,0.7944546471329974,False,False,0.052526105712922516,0.06179957300778832,0.3442517817020416,10.327553451061249,-0.06772557063188892,0.09408500790596008,4.704250395298004,-0.09713910159478877,-0.03341588005423546,-1.670794002711773,0.0703257846088928,-0.04243572801351547,-3.1826796010136604,0.3192923162841031
32,0.6502458453178406,0.0359294419960938,0.045,0.8070094041722085,False,False,0.052339651851371564,0.05900735808429189,0.34156590700149536,10.24697721004486,-0.0675899933350305,0.09127868711948395,4.563934355974197,-0.09592627210349916,-0.02919035032391548,-1.459517516195774,0.0653907342261739,-0.03927045315504074,-2.9452839866280556,0.3132545447749202
33,0.6718865633010864,0.03649240345566383,0.045,0.8189873075673156,False,False,0.052148613107993694,0.05629614595700355,0.3386998474597931,10.160995423793793,-0.06746486634473987,0.08853460848331451,4.426730424165726,-0.09477368103744778,-0.025203410536050797,-1.2601705268025398,0.060722677623879465,-0.036671482026576996,-2.7503611519932747,0.3075340951366014
34,0.6925182938575745,0.037029090758448534,0.045,0.8304061863499689,False,False,0.051954604374528326,0.053668730278470106,0.3354404866695404,10.063214600086212,-0.06734963067125793,0.08586187660694122,4.293093830347061,-0.0936768601776883,-0.021488536149263382,-1.074426807463169,0.05630919796524124,-0.034414954483509064,-2.58112158626318,0.3021088170095249
35,0.7121761441230774,0.03754037924938327,0.045,0.8412846648804951,False,False,0.05175954056286167,0.051128849093473594,0.33176901936531067,9.95307058095932,-0.06724373173704051,0.08327518403530121,4.16375920176506,-0.092631423553313,-0.01804393157362938,-0.902196578681469,0.05213815083517674,-0.032351844012737274,-2.4263883009552956,0.29695699555363314
36,0.7308950424194336,0.03802717636988847,0.045,0.851642050423159,False,False,0.05156522173200043,0.04867971205052002,0.32775524258613586,9.832657277584076,-0.06714662838453311,0.08079062402248383,4.039531201124191,-0.09163351452704235,-0.014850307255983353,-0.7425153627991676,0.04819770110554513,-0.03039180487394333,-2.2793853655457497,0.2920592193915378
37,0.7487099766731262,0.03849041069012441,0.045,0.8614980997898811,False,False,0.051373164051797766,0.04632343202359418,0.3234969675540924,9.704909026622772,-0.06705780453680663,0.07841810584068298,3.920905292034149,-0.0906799279273554,-0.011883597820997238,-0.5941798910498619,0.04447639609529221,-0.028487764298915863,-2.1365823224186897,0.2873989089318718
38,0.7656563520431519,0.03893101997249854,0.045,0.8708727653723094,False,False,0.051184560925160744,0.04406092823741256,0.31908681988716125,9.572604596614838,-0.0669767798387916,0.07616157829761505,3.8080789148807526,-0.08976806532890433,-0.009119514375925064,-0.4559757187962532,0.04096323692560688,-0.026618994772434235,-1.9964246079325676,0.28296214980635287
39,0.7817694544792175,0.03934994087359142,0.045,0.8797859760338601,False,False,0.051000318255130794,0.041892090109288405,0.31460148096084595,9.438044428825378,-0.06690311064192947,0.07402049005031586,3.701024502515793,-0.08889581913255794,-0.00653863325715065,-0.3269316628575325,0.03764770285303207,-0.02478080242872238,-1.8585601821541786,0.2787372250001667
40,0.797084391117096,0.03974810024417235,0.045,0.888257452003667,False,False,0.05082109018848527,0.039815937058092915,0.31010183691978455,9.303055107593536,-0.06683638423366076,0.07198987901210785,3.5994939506053925,-0.08806144380196819,-0.0041252486407756805,-0.20626243203878403,0.0345197405479628,-0.022976361215114594,-1.7232270911335945,0.274714085241448
41,0.8116358518600464,0.04012640857759006,0.045,0.8963065654806397,False,False,0.05064733231140092,0.03783083334177109,0.305632084608078,9.16896253824234,-0.06677622025336966,0.07006219029426575,3.5031095147132874,-0.08726344073992438,-0.001863475888967514,-0.0931737944483757,0.031569775750584,-0.02121245115995407,-1.5909338369965553,0.27088386836042877
42,0.8254578709602356,0.040485755756792426,0.045,0.9039522501445197,False,False,0.05047936132237139,0.03593471792023642,0.30122318863868713,9.036695659160614,-0.06672226070741656,0.06823098659515381,3.4115493297576904,-0.08650047122561232,0.00025561079382896423,0.012780539691448212,0.028788670492916106,-0.019494928419589996,-1.4621196314692497,0.2672385327079052
43,0.8385834693908691,0.04082700747698573,0.045,0.9112129250422496,False,False,0.05031737024470531,0.03412517201933016,0.29689884185791016,8.906965255737305,-0.06667416956719115,0.06648845970630646,3.324422985315323,-0.08577129231858581,0.002243887633085251,0.11219438165426254,0.026167717330925405,-0.01782991737127304,-1.337243802845478,0.26377058217467403
44,0.8510450124740601,0.04115100325188362,0.045,0.9181064521677366,False,False,0.050161470473111536,0.032399577489788944,0.29267552495002747,8.780265748500824,-0.06663162349354353,0.06482906639575958,3.241453319787979,-0.08507471732037718,0.004107426851987839,0.20537134259939194,0.023698593748493976,-0.016220785677433014,-1.216558925807476,0.26047289344011476
45,0.8628736138343811,0.04145855459763679,0.045,0.9246500978220593,False,False,0.05001169489900911,0.030755134575317228,0.28856632113456726,8.656989634037018,-0.0665943167233964,0.06324665248394012,3.1623326241970062,-0.08440959005510455,0.005857471376657486,0.2928735688328743,0.021373374669447588,-0.014670707285404205,-1.1003030464053154,0.25733859939208714
46,0.8740993738174438,0.041750444588311154,0.045,0.9308605231555565,False,False,0.049868035609381675,0.02918899906743655,0.2845786511898041,8.537359535694122,-0.06656195239675701,0.0617373026907444,3.08686513453722,-0.0837747712605742,0.007497813552618027,0.37489067763090134,0.019184485918425136,-0.013180963695049286,-0.9885722771286964,0.2543610245613952
47,0.8847512602806091,0.0420274268689325,0.045,0.9367537631687767,False,False,0.04973042781450398,0.02769822806213476,0.28072044253349304,8.421613276004791,-0.0665342467349266,0.06029682233929634,3.014841116964817,-0.08316913300984037,0.009038131684064865,0.45190658420324326,0.017124712334151904,-0.011752061545848846,-0.8814046159386635,0.2515336538364835
48,0.8948571681976318,0.04229022589256031,0.045,0.9423452317566023,False,False,0.04959878412581306,0.02627990236278091,0.27699461579322815,8.309838473796844,-0.06651092605594972,0.058921705931425095,2.9460852965712547,-0.08259155659345098,0.010483037680387497,0.5241518840193748,0.015187174154049422,-0.010384075343608856,-0.7788056507706642,0.2488501161732569
49,0.9044439196586609,0.04253953683583331,0.045,0.947649719911347,False,False,0.04947298552960942,0.024931094327299702,0.27340415120124817,8.202124536037445,-0.06649172878107047,0.057608913630247116,2.880445681512356,-0.0820409335263252,0.011839795857667923,0.5919897928833961,0.013365324460958339,-0.009076349437236786,-0.6807262077927589,0.2463041820108132
50,0.9135371446609497,0.04277602595858262,0.045,0.9526814033740983,False,False,0.04935289409638834,0.023648912274931017,0.26995033025741577,8.098509907722473,-0.06647640058783937,0.05635562166571617,2.8177810832858086,-0.08151616898386396,0.01311199739575386,0.655599869787693,0.011652918149380869,-0.007827632129192352,-0.5870724096894264,0.24388977128211364
51,0.9221614003181458,0.043000330774800366,0.045,0.9574538462723483,False,False,0.04923834790551923,0.022430481621774773,0.26663413643836975,7.9990240931510925,-0.0664647009526199,0.055159877985715866,2.7579938992857933,-0.081016184168272,0.014307823032140732,0.7153911516070366,0.010044028778010137,-0.006636671721935272,-0.4977503791451454,0.24160095831448872
52,0.9303401708602905,0.04321306108573494,0.045,0.9619800231007434,False,False,0.04912918605446848,0.0212730310934571,0.2634527385234833,7.903582155704498,-0.06645639868389953,0.05401868745684624,2.700934372842312,-0.08053991860985599,0.015429634600877762,0.7714817300438881,0.008533017781985354,-0.005502261221408844,-0.4126695916056633,0.23943197571346791
53,0.9380958676338196,0.04341479928894567,0.045,0.9662723252967165,False,False,0.04902522883196243,0.020173820321073288,0.260405957698822,7.812178730964661,-0.06645127244302745,0.05292992666363716,2.646496333181858,-0.08008633502714319,0.01648302748799324,0.824151374399662,0.0071145263605062676,-0.004422180354595184,-0.3316635265946388,0.23737722952553822
54,0.945449948310852,0.04360610119401229,0.045,0.9703425785960061,False,False,0.04892629262399144,0.019130190506661676,0.2574913799762726,7.7247413992881775,-0.06644911172097548,0.05189197137951851,2.5945985689759254,-0.07965442129686015,0.01747240498661995,0.8736202493309975,0.0057834691176536146,-0.003394775092601776,-0.2546081319451332,0.2354313037256188
55,0.9524227976799011,0.043787496878379184,0.045,0.9742020612421103,False,False,0.04883219188582257,0.018139568436689735,0.2547057271003723,7.641171813011169,-0.0664497166602522,0.05090182647109032,2.545091323554516,-0.07924319276817834,0.018401678651571274,0.9200839325785637,0.004535022481238641,-0.0024182796478271484,-0.18137097358703613,0.23358896474252974
56,0.9590339660644531,0.04395949153112209,0.045,0.9778615219387679,False,False,0.048742739649881746,0.01719946527429031,0.25204572081565857,7.561371624469757,-0.06645289679088709,0.04995822533965111,2.4979112669825554,-0.07885169347046045,0.019274208694696426,0.9637104347348213,0.0033646090927520337,-0.0014908015727996826,-0.1118101179599762,0.23184516316387538
57,0.9653018712997437,0.04412256623648586,0.045,0.9813311965209758,False,False,0.04865774663430053,0.01630747053637735,0.24950839579105377,7.485251873731613,-0.06645847103873262,0.04905859753489494,2.452929876744747,-0.07847899873835737,0.020093735307455063,1.0046867653727531,0.002267888350151737,-0.0006101951003074646,-0.045764632523059845,0.23019504045418404
58,0.9712442755699158,0.04427717889317111,0.045,0.9846208275142789,False,False,0.04857702593743715,0.015461265668524626,0.24708957970142365,7.412687391042709,-0.06646626883239289,0.048201777040958405,2.4100888520479202,-0.07812421566365192,0.020863894373178482,1.043194718658924,0.0012407512720840912,0.00022543221712112427,0.01690741628408432,0.2286339281044838
59,0.9768778681755066,0.04442376521898474,0.045,0.9877396855103135,False,False,0.04850039641653729,0.014658632581363018,0.24478496611118317,7.343548983335495,-0.06647612863649596,0.04738492891192436,2.369246445596218,-0.07778648374701459,0.02158718928694725,1.0793594643473625,0.0002793048201493478,0.001017831265926361,0.07633734494447708,0.2271573461847188
60,0.9822186827659607,0.04456273949492838,0.045,0.9906965849984762,False,False,0.04842767618547235,0.013897427594364298,0.24259109795093536,7.277732938528061,-0.06648789628697811,0.04660644382238388,2.330322191119194,-0.07746497612135114,0.022266190499067307,1.1133095249533653,-0.0006201435545705687,0.00176914781332016,0.132686085999012,0.22576100516007744
61,0.9872817993164062,0.04469449541662516,0.045,0.9934999024813864,False,False,0.0483586864512942,0.013175592169677869,0.24050407111644745,7.2151221334934235,-0.0665014278181526,0.045865193009376526,2.2932596504688263,-0.0771588980581796,0.022904779762029648,1.1452389881014824,-0.0014610824216030472,0.0024809464812278748,0.1860709860920906,0.22444079775376863
62,0.9920817017555237,0.0448194071991976,0.045,0.9961575999829277,False,False,0.04829325966770236,0.012491178257244273,0.23851852118968964,7.155555635690689,-0.06651658740975361,0.04515894129872322,2.257947064936161,-0.07686748821914081,0.023504387587308884,1.1752193793654442,-0.0022468138881206468,0.0031553730368614197,0.23665297776460648,0.223192800911776
63,0.9966320991516113,0.04493783023480385,0.045,0.9986772390383798,False,False,0.04823122775180753,0.011842303560624656,0.23663143813610077,7.098943144083023,-0.0665332449846037,0.04448617622256279,2.2243088111281395,-0.07659001830814433,0.02406701073050499,1.2033505365252495,-0.0029804708734526824,0.0037941262125968933,0.284559465944767,0.22201327174466345
64,0.9971083402633667,0.04505010187872411,0.045,0.998934002580338,False,False,0.04817242644525807,0.011227164392026145,0.2348387986421585,7.045163959264755,-0.06655128062103939,0.04384491220116615,2.1922456100583076,-0.07632579223952221,0.024596620351076126,1.2298310175538063,-0.003665005980429249,0.004398800432682037,0.3299100324511528,0.22089864123337374
65,0.9930450320243835,0.04515654258275493,0.045,0.9966693067498951,False,False,0.04811670610641934,0.010644070403081907,0.2331351786851883,6.994055360555649,-0.06657058052816293,0.0432344488799572,2.16172244399786,-0.07607414386736422,0.02509334310889244,1.254667155444622,-0.004303216275713456,0.004970818758010864,0.3728114068508148,0.21984550345048992
66,0.9891926050186157,0.045257456367911855,0.045,0.9945222049380456,False,False,0.04806391380894822,0.010091378515692667,0.23151813447475433,6.94554403424263,-0.06659103632599633,0.042653027921915054,2.1326513960957527,-0.07583443931953258,0.025559615343809128,1.2779807671904564,-0.004897752337968111,0.00551258772611618,0.41344407945871353,0.2188506228713491
67,2.0,0.045353131650254515,0.045,0.9924865606328827,False,True,0.0480139039881097,0.00956752823426596,0.22998331487178802,6.899499446153641,-0.06661254840827412,0.042098578065633774,2.1049289032816887,-0.07560607363876136,0.025998350232839584,1.2999175116419792,-0.005451110789583417,0.006024658679962158,0.45184940099716187,0.21791091763748494
68,2.0,0.04544384215432993,0.045,0.9905565499078738,False,True,0.047966541790922954,0.009071050407541414,0.22852666676044464,6.855800002813339,-0.06663502064531084,0.0415705181658268,2.07852590829134,-0.07538847138244735,0.02640916034579277,1.3204580172896385,-0.0059656627153918075,0.006509281694889069,0.48819612711668015,0.2170234606883193
69,2.0,0.04552984739723206,0.045,0.9887266511227222,False,True,0.047921691618866155,0.008600524290212908,0.22714479267597198,6.8143437802791595,-0.06665836675302465,0.04106729105114937,2.0533645525574684,-0.07518108419998865,0.026796545833349228,1.3398272916674614,-0.006443633064706955,0.00696728378534317,0.5225462839007378,0.2161854679910494
70,2.0,0.045611393732184514,0.045,0.9869916227194784,False,True,0.04787923373204856,0.008154633495245645,0.22583334147930145,6.775000244379044,-0.06668250078100499,0.04058751091361046,2.029375545680523,-0.07498339173563315,0.027157876640558243,1.3578938320279121,-0.006887146106526405,0.007400602102279663,0.5550451576709747,0.21539430014624672
71,2.0,0.045688714404142405,0.045,0.9853465020395232,False,True,0.04783903682862298,0.0077320671957890885,0.22459113597869873,6.737734079360962,-0.06670734581325553,0.040130387991666794,2.0065193995833397,-0.07479489880966766,0.027499046176671982,1.374952308833599,-0.0072981933293136516,0.007810026407241821,0.5857519805431366,0.21464744964427748
72,2.0,0.04576203084530486,0.045,0.983786577759471,False,True,0.04780099382276841,0.007331644116245761,0.2234121412038803,6.702364236116409,-0.0667328284575585,0.039694804698228836,1.9847402349114418,-0.07461513469360208,0.02781803533434868,1.390901766717434,-0.007678662681123226,0.008197009563446045,0.6147757172584534,0.2139425364556381
73,2.0,0.045831552830206956,0.045,0.9823073865913413,False,True,0.04776499028417511,0.006952198490209338,0.22229520976543427,6.668856292963028,-0.06675887944101862,0.039279405027627945,1.9639702513813972,-0.0744436530548168,0.028117459267377853,1.4058729633688927,-0.00803034011579245,0.008562840521335602,0.6422130391001701,0.21327730596828726
74,2.0,0.04589747919462923,0.045,0.9809046979866122,False,True,0.04773092083697414,0.006592636442227101,0.22123663127422333,6.6370989382267,-0.0667854350365705,0.03888305276632309,1.9441526383161545,-0.07428003007462433,0.02839864417910576,1.419932208955288,-0.008354908203595081,0.008908368647098541,0.6681276485323906,0.21264961963522155
75,2.0,0.045959998480560184,0.045,0.979574500413613,False,True,0.04769868774819955,0.006251928593095646,0.22023309767246246,6.606992930173874,-0.06681243531789063,0.03850508853793144,1.9252544268965721,-0.07412386324283297,0.028662052005529404,1.4331026002764702,-0.008653958087756817,0.009234733879566193,0.6926050409674644,0.2120574490343849
76,2.0,0.04601928933031539,0.045,0.9783129929720129,False,True,0.04766819434584041,0.005929084975520721,0.21928240358829498,6.5784721076488495,-0.06683982322790297,0.03814433142542839,1.9072165712714195,-0.0739747707539666,0.028908666223287582,1.4454333111643791,-0.008928997093616678,0.009542964398860931,0.7157223299145699,0.2114988719401795
77,2.0,0.046075521005644035,0.045,0.9771165743479993,False,True,0.047639349013904826,0.005623167532864404,0.2183818370103836,6.551455110311508,-0.06686754706154688,0.037800487130880356,1.8900243565440178,-0.07383239084729734,0.0291404090821743,1.457020454108715,-0.009181442213595516,0.009834222495555878,0.7375666871666908,0.2109720690622689
78,2.0,0.04612885399407471,0.045,0.9759818299133041,False,True,0.04761206822492746,0.00533329884306738,0.2175283282995224,6.525849848985672,-0.06689555698388852,0.03747202455997467,1.8736012279987335,-0.0736963807558607,0.029356714338064194,1.4678357169032097,-0.009412638538226364,0.01010923832654953,0.7581928744912148,0.210475318001411
79,2.0,0.0461794402793176,0.045,0.9749055259719659,False,True,0.04758626746763016,0.0050586285242890106,0.21672028303146362,6.501608490943909,-0.06692380780425046,0.03715835139155388,1.857917569577694,-0.07356641517357888,0.029559966176748276,1.4779983088374138,-0.009623850776339465,0.010368771851062775,0.7776578888297081,0.21000698588441588
80,2.0,0.046227423963721585,0.045,0.973884596516562,False,True,0.04756187166018345,0.0047983684403986315,0.2159544974565506,6.478634923696518,-0.066952256316971,0.03685881569981575,1.8429407849907875,-0.07344218574393634,0.029749583452939987,1.4874791726469994,-0.009816277957596785,0.010613784193992615,0.7960338145494461,0.20956552645787835
81,2.0,0.04627294149268487,0.045,0.9729161384535133,False,True,0.04753880430476699,0.004551752896328476,0.2152298241853714,6.456894725561142,-0.06698086242673955,0.03657302260398865,1.8286511301994324,-0.0733234003426344,0.029927264899015427,1.4963632449507713,-0.009991051342320362,0.010845132172107697,0.8133849129080772,0.20914947664735642
82,2.0,0.046316122159520086,0.045,0.9719974008612747,False,True,0.047516995791999084,0.004318066683521582,0.2145434021949768,6.436302065849304,-0.06700958921981788,0.0362994521856308,1.81497260928154,-0.07320978170248646,0.030093472450971603,1.5046736225485802,-0.010149237348108403,0.011063210666179657,0.8297407999634743,0.20875744912197508
