episode,step,ankle_eversion_deg,ankle_eversion_action,ankle_flexion_deg,ankle_flexion_action,hip_abduction_deg,hip_abduction_action,hip_flexion_deg,hip_flexion_action,reward,cum_reward,com_y,target_y,h,xcom_y,failed
1,1,0.017421161607886492,-1.0,0.02688498349693622,0.987704336643219,0.025911012103018854,1.0,0.046496307760274753,-1.0,-0.0228074099868536,-0.0228074099868536,-0.0003056491946677364,0.013428174553720314,0.5422058750537316,0.0019131341835230636,False
1,2,-0.1129204841656761,-1.0,0.2255065457113508,0.8446681499481201,0.5529810216165764,-0.11290169507265091,-0.7537424230244928,-0.7452201843261719,0.07784798741340637,0.05504057742655277,-3.9722167509723686e-05,0.013428174553720314,0.551070109292332,0.008532928709706468,False
1,3,-0.2618776726390467,-1.0,0.5945045233697785,0.3652012348175049,1.1450262385108516,-0.11022064834833145,-2.236605777650352,-0.09210311621427536,0.15079283714294434,0.2058334145694971,0.00023639152082601176,0.013428174553720314,0.5602738989035232,0.00913742831208177,False
1,4,-0.3894559406986249,-1.0,0.9611910843911488,-0.019910067319869995,1.6385298870552591,-0.06614161282777786,-3.7022974553219927,0.1017237976193428,0.17568610608577728,0.3815195206552744,0.0005355419607611209,0.013428174553720314,0.5702455802346935,0.010179211161054556,False
1,5,-0.5078676943038334,-1.0,1.2488311191114605,-0.21013669669628143,2.0834150200805612,-0.09698749333620071,-4.844112403323792,0.11662039905786514,0.19318674504756927,0.5747062657028437,0.0008705905979346822,0.013428174553720314,0.5814138681404789,0.011671504758755717,False
1,6,-0.6197119366607019,-1.0,1.457665904135204,-0.2727091312408447,2.4896116260422945,-0.0837237611413002,-5.667320879850165,0.09953735023736954,0.2143419235944748,0.7890481892973185,0.0012432796168766786,0.013428174553720314,0.5938368354385455,0.01325760128739846,False
1,7,-0.7290056461658767,-1.0,1.6064802251129815,-0.2793225646018982,2.8730346527920894,-0.1348157823085785,-6.250376856708933,0.1012171283364296,0.23844152688980103,1.0274897161871195,0.001657567755227534,0.013428174553720314,0.6076464400502406,0.015012914184695227,False
1,8,-0.8329977567659161,-1.0,1.710194574696529,-0.27419954538345337,3.2218576925244813,-0.14445975422859192,-6.654522968542943,0.11972258239984512,0.2653650939464569,1.2928548101335764,0.0021095823829506487,0.013428174553720314,0.6227135943076778,0.01668111216041333,False
1,9,-0.931878541475454,-1.0,1.7768418252658464,-0.25139981508255005,3.5364196087193815,-0.18731531500816345,-6.912342556890675,0.1350075602531433,0.2945108413696289,1.5873656515032053,0.0026004520167235297,0.013428174553720314,0.6390759154334406,0.018424544970094048,False
1,10,-1.0233883038180638,-1.0,1.8124963474701885,-0.229836568236351,3.807014373610146,-0.20738950371742249,-7.04813917755761,0.14563465118408203,0.32611119747161865,1.913476848974824,0.0031275649128232994,0.013428174553720314,0.6566463453034328,0.020120026639764022,False
1,11,-1.106999173336133,-1.0,1.822459362708796,-0.20922379195690155,4.031175334979051,-0.25073155760765076,-7.08303680485531,0.15627619624137878,0.35920849442481995,2.272685343399644,0.0036908687383856533,0.013428174553720314,0.6754231394888446,0.0218500121919654,False
1,12,-1.180362880221549,-1.0,1.8107869254081879,-0.1932484358549118,4.19896632965466,-0.27251526713371277,-7.033135364535292,0.16536644101142883,0.3946549594402313,2.667340302839875,0.004288220352935299,0.013428174553720314,0.6953348599738328,0.023544957425518435,False
1,13,-1.2430792943803237,-0.9676547646522522,1.7804448894507618,-0.17485494911670685,4.308554006016597,-0.314604789018631,-6.910149601061097,0.1800689697265625,0.4345490336418152,3.1018893364816904,0.004919267812313957,0.013428174553720314,0.7163697752864548,0.025262252931284413,False
1,14,-1.2925992271987532,-0.5290830731391907,1.7328158867064472,-0.15458182990550995,4.349554888231874,-0.3252812623977661,-6.719299519182782,0.19356176257133484,0.506295919418335,3.6081852559000254,0.0055723552096604385,0.013428174553720314,0.7381393551980042,0.026625838601683,False
1,15,-1.3218393097906989,-0.113228440284729,1.668911163496258,-0.14145199954509735,4.297052133704977,-0.24387842416763306,-6.4642681571157,0.19502806663513184,0.5611258149147034,4.169311070814729,0.006222223338750246,0.013428174553720314,0.7598016261676644,0.027171927648445202,False
1,16,-1.3339568240224424,0.24045981466770172,1.5908164557542595,-0.11408494412899017,4.169698078427075,-0.24249178171157837,-6.15316577737047,0.20905405282974243,0.5969567894935608,4.7662678603082895,0.006855239241327817,0.013428174553720314,0.7809021562535834,0.02726168077725689,False
1,17,-1.326512960683677,0.5597473382949829,1.499098124888474,-0.0920882374048233,3.9622985593793465,-0.1743808388710022,-5.7877079177669915,0.21033725142478943,0.621660053730011,5.3879279140383005,0.007452881570094489,0.013428174553720314,0.8008235672124725,0.026718990354587628,False
1,18,-1.3026903820858577,0.8153674602508545,1.3953104156958192,-0.060615167021751404,3.692365923540901,-0.1564183533191681,-5.373639443320336,0.2147054672241211,0.6377461552619934,6.025674069300294,0.008006496773670095,0.013428174553720314,0.8192774073316593,0.025853309530135874,False
1,19,-1.2626699353070485,1.0,1.2810208179330465,-0.036834269762039185,3.364245673472462,-0.10761360079050064,-4.9166730756654795,0.20969539880752563,0.651803731918335,6.677477801218629,0.008505661772154203,0.013428174553720314,0.8359162406144629,0.0245971711905923,False
