episode,total_reward,steps,target_y,final_com_y,final_h,max_abs_xcom_y,failed,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg,final_error
1,1037.7080505732447,56,0.013428174553720314,0.012758300002564709,0.9776708482948132,0.02726168077725689,False,0.5461014944350283,1.3339568240224424,0.7866019799438063,1.822459362708796,2.697304185820338,4.6029097778087396,3.49781131334825,7.08303680485531,-0.0006698745511556047
2,1065.0232558995485,129,-0.028905074778407338,-0.02776326047508474,0.96193952322258,0.04506940959734043,False,2.337495947230118,4.335201769498191,2.5998351921927436,4.396445734421232,5.003924783106451,15.867175729402259,6.130445608078112,19.436037636661826,0.0011418143033225976
3,1032.4124755263329,38,0.0034999022258890705,0.0035695012714687976,0.9976800318140091,0.011464769714019397,False,0.32283283941565927,0.6803841133424404,0.1322576193707733,0.36720455763166726,1.9996605972161994,4.012987066972135,1.8683721568124891,3.692568294298976,6.959904557972711e-05
4,1031.830996543169,43,0.00837751004026429,0.007775424382395677,0.9799304780710463,0.021415150327624623,False,0.3322117892539546,0.7587736466983369,0.47074981014455414,1.1555534306223243,1.8810237187763328,3.7141634683605553,2.434273655495208,4.515291595875344,-0.0006020856578686125
5,1032.1191212534904,39,0.00619497549894666,0.0059254393322515485,0.9910154611101629,0.014887806559661342,False,0.2632869244405501,0.5074115858591499,0.262152823465927,0.6596610714400003,1.7843916879376496,3.8900004458992923,1.958055244305964,3.6438698999948986,-0.0002695361666951116
6,1041.962982612662,67,-0.01716786218759338,-0.015852487980590007,0.9561541930998876,0.03324845349632473,False,1.6718047144276236,2.5205453479247666,1.3433618858738918,2.2196723961291376,4.162174974722366,8.67232673918039,4.618093115064274,10.404197077898557,0.0013153742070033739
7,1044.2167049180716,94,0.02684974077176426,0.026156429669171182,0.9768896299135641,0.04149446832806533,False,1.2363632578369759,3.2301734472682253,1.7999868621687167,3.646701803364062,5.607147125204312,11.170158493409467,7.127767517607154,15.490024321898867,-0.0006933111025930784
8,1063.0672449059784,118,-0.026792236220804122,-0.02561668704622332,0.9608150275139733,0.042978153965427215,False,2.208454391947807,3.9625744489599724,2.294422420973969,3.855454346801354,4.6691585152442,14.241086544531584,5.651770495148356,17.40669836507792,0.0011755491745808026
9,1043.7136541362852,90,0.026588111039534366,0.02587203828632496,0.9761309082263532,0.0413412477433381,False,1.188520260562992,3.0820245402475055,1.7291668827316289,3.388576110532785,5.408122809265659,10.393178118592258,6.858777479607289,14.5621288556484,-0.0007160727532094062
10,1060.2454321803525,107,-0.023790105255347995,-0.022592889000066573,0.9600927914906192,0.04009045777216774,False,2.0745934030353816,3.5797850180652193,2.018784181607965,3.514923032571523,4.551639937597966,12.874500263758781,5.340322743622387,15.720664428522802,0.001197216255281422
11,1028.7651617527008,34,-0.0037801080667475735,-0.003634685085767326,0.9951525673006584,0.015363276821656165,False,0.6262938409909709,0.8321172079119371,0.33997074648705244,0.6088599673753592,1.9720357115784553,2.71168716696214,1.7629352789048613,2.179934963994098,0.00014542298098024764
12,1028.8158799409866,33,0.001912883320153623,0.0019720870367040608,0.998026542781652,0.0062393149908006856,False,0.33105479547310374,0.6891029916764203,0.06520868152479764,0.0886020299398942,1.838215941077655,3.604349249093527,1.5120829282105466,3.2379523236608048,5.920371655043777e-05
13,1030.6211918592453,37,-0.004460058967537008,-0.0041372782048839,0.9892406412448964,0.017076212828160513,False,0.7279143356546125,0.9186292187783212,0.4011790379424729,0.6197606791790886,2.3304881324668236,3.1072183801378017,2.1239280001704657,2.940969054254024,0.00032278076265310814
14,1031.1150440871716,45,-0.011841737238553661,-0.010793653236549865,0.9650638665998734,0.026569312684412757,False,1.2732022687662914,1.738196607451768,0.8448215339670037,1.3333722666253365,3.434391806780957,5.809090352713987,3.682201362225778,6.6735716755458165,0.001048084002003796
15,1042.019536079024,67,-0.01676858074417458,-0.015460146289707568,0.9563855181844328,0.03277920840235484,False,1.6654708241408973,2.5054671557195904,1.3346982764072552,2.2597676707525305,4.239633076353053,8.706983365094647,4.713773695609907,10.443988220133564,0.0013084344544670133
16,1031.001179844141,39,-0.005836630120208828,-0.005448635955674105,0.9870668611821759,0.02071560307707641,False,0.8204599572020224,1.1078174576380524,0.5115584198687231,0.75573488198896,2.502258087811741,3.8274904401171623,2.4089713554644314,3.7912182623076225,0.00038799416453472266
17,1026.2178398370743,30,-0.0018603323246496953,-0.0018689005049419484,0.9997143939902582,0.011857015878260707,False,0.48083630139156314,0.7231168228231292,0.21676457794614828,0.44340755671080717,1.672295865052692,2.7161456967317403,1.366427015207568,2.220697963664137,-8.568180292253163e-06
18,1051.5995715884492,86,-0.020231219665548326,-0.018969215988436636,0.9579332107629437,0.036573223628645735,False,1.864488309096905,3.0071851783110253,1.6685589189480705,2.843058166103406,4.33831748460841,10.589162666734588,4.826078286047629,12.85999484485581,0.0012620036771116908
19,1045.0677150590345,83,0.023439628130287826,0.022762686046905664,0.9774352638872612,0.03807912305983402,False,1.015526022608058,2.6094365837253872,1.4624715143743254,2.943517637492634,4.670367203808934,8.600037639520822,5.901149062387961,12.383722976667128,-0.0006769420833821621
20,1036.2144089452922,53,0.013476821193956462,0.012770166460980871,0.976444842234147,0.027122106214290304,False,0.5162347340779401,1.2411111355237956,0.7370747071417248,1.6504868539455866,2.547338850215254,4.540148370933655,3.301071876914491,6.416077852214414,-0.000706654732975591
