episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1906.8832284305245,1000,-0.033441109791139415,-0.035205096065958445,0.96246837713151,False,-0.0017639862748190308
2,1931.6228258162737,1000,-0.021465602326400227,-0.022887960730508597,0.9697370552317368,False,-0.0014223584041083703
3,1901.634730996564,1000,-0.03615058564157711,-0.037985091758570226,0.9609679549575932,False,-0.0018345061169931162
4,1932.972580626607,1000,-0.02098563396196068,-0.022392804961325136,0.9700601915028839,False,-0.001407170999364455
5,1946.532592535019,1000,-0.013840365275105036,-0.015002867669629688,0.9752659064994755,False,-0.0011625023945246518
6,1959.3785846829414,1000,0.009985075545027623,0.009990276698286954,0.9998893371646951,False,5.2011532593303905e-06
7,1895.835912015289,1000,0.04441364512250505,0.0467361022692018,0.9505860181553882,False,0.002322457146696752
8,1935.0011791288853,1000,0.020807264979837273,0.021521961941586683,0.9847936816649062,False,0.00071469696174941
9,1959.5345950424671,1000,-0.00905907272268134,-0.010035274204121385,0.9792297557140416,False,-0.0009762014814400453
10,1952.2791039645672,1000,-0.011595563067885034,-0.012673098907102776,0.9770737055485587,False,-0.0010775358392177414
11,1929.5707730278373,1000,-0.022261950474532492,-0.023709199369656896,0.969207470316502,False,-0.0014472488951244034
12,1906.7941338326782,1000,0.03683831984448614,0.03863797502190866,0.9617094643101591,False,0.0017996551774225183
13,1989.1598528027534,1000,0.002515883469812942,0.0020867107132279752,0.9908686647535113,False,-0.0004291727565849668
14,1932.7942952914163,1000,0.021656790894157035,0.02242891852804976,0.9835717524703675,False,0.000772127633892724
15,1898.1780864475295,1000,-0.03923088603754764,-0.04114438709056782,0.9592872116378685,False,-0.0019135010530201835
16,1893.2193775749765,1000,-0.04222712420442939,-0.04421728407234184,0.9576561730231392,False,-0.0019901598679124555
17,2000.0,1000,0.0002370759177095852,-0.00031182275049719646,0.9883213049317706,False,-0.0005488986682067817
18,1899.1435695886612,1000,0.04186602308174073,0.04401063096861749,0.9543700449600689,False,0.0021446078868767593
19,1902.0533265993,1000,-0.03635639900139798,-0.038196210935313446,0.9608550652358411,False,-0.0018398119339154695
20,1891.7097195843235,1000,-0.04292700911731441,-0.044935162556056535,0.9572733310905931,False,-0.0020081534387421246
