episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1926.9070825823583,1000,0.02817787301834679,0.02829198406676516,0.9975721053528006,False,0.00011411104841837008
2,1974.4369774460793,1000,-0.0053417094916862334,-0.005685388875220004,0.9926876726907709,False,-0.00034367938353377023
3,1907.1205763686448,1000,-0.04247227941469195,-0.043173433055876884,0.9850818374215972,False,-0.0007011536411849345
4,1918.448985297291,1000,-0.03571397960553814,-0.036346811866117136,0.9865354838174681,False,-0.0006328322605789957
5,1922.1406796295196,1000,0.03161805406403674,0.03179714546199488,0.9961895447242949,False,0.00017909139795813794
6,1951.4884678125381,1000,0.01525199298134506,0.01515738740971092,0.9979871154971459,False,-9.46055716341404e-05
7,1901.620327314362,1000,0.04312463098054335,0.04355749311272851,0.9907901674003158,False,0.0004328621321851578
8,1938.4689580211416,1000,-0.02418930639112722,-0.024714086502314814,0.9888344657194129,False,-0.0005247801111875929
9,1939.0469899624586,1000,0.022207288595001,0.02221857961280706,0.9997597655785945,False,1.1291017806062259e-05
10,1956.0943913459778,1000,0.012242724316010964,0.012106320586684049,0.9970977929930444,False,-0.00013640372932691505
11,1974.404809653759,1000,-0.005222673919291904,-0.005565115568968931,0.9927140074536803,False,-0.0003424416496770272
12,1994.7492588162422,1000,-0.001339162643962985,-0.0016402188258748172,0.9935945493210249,False,-0.00030105618191183224
13,1938.3130288664252,1000,-0.023715710028448182,-0.024236128923137142,0.9889272575598094,False,-0.00052041889468896
14,1917.9782017804682,1000,-0.03592602560081576,-0.036560921810108823,0.9864915700150412,False,-0.0006348962092930649
15,1928.1434545642696,1000,0.02761472189821547,0.027718613939753466,0.9977895310311065,False,0.00010389204153799653
16,1964.7579708695412,1000,0.009005903606841358,0.008826930498159732,0.9961920615174122,False,-0.00017897310868162514
17,1908.1750404946506,1000,-0.04201509878950883,-0.042711436004051855,0.9851843145841909,False,-0.0006963372145430274
18,1940.6586748845875,1000,-0.022330197482184073,-0.022837850507767224,0.9891988717961032,False,-0.0005076530255831505
19,1902.366293368861,1000,-0.04559239451669653,-0.046327369395420814,0.9843622366228875,False,-0.0007349748787242871
20,1942.7677801698446,1000,0.019155689366737533,0.01911882066773342,0.9992155595956571,False,-3.6868699004113936e-05
