time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss
31,87.44,-135.65917498,3020,126976,42,300,0.2,0.07529296875,1.0681405067443848,0.008235074,-5.951313865184784,0.0003,0.05096758473664522,-0.04915288835763931,0.6277548968791962,-0.011087958881398663
32,93.0,-137.40637976,2992,131072,43,310,0.2,0.0609619140625,1.063737392425537,0.007123933,-5.9306764006614685,0.0003,0.04478108207695186,-0.05121062695980072,0.653273344039917,-0.008555604872526601
33,99.36,-130.50667428999998,2969,135168,45,320,0.2,0.0874267578125,1.0659265518188477,0.009341869,-5.926311606168747,0.0003,0.04555270615965128,-0.061511363834142685,0.6881411969661713,-0.01060765718575567
34,102.58,-124.76361934999998,2974,139264,46,330,0.2,0.0631103515625,1.0607805252075195,0.006646116,-5.920344996452331,0.0003,0.047675777319818737,-0.052403245121240616,0.6785158812999725,-0.008915161011100282
35,104.6,-131.73130185,2959,143360,48,340,0.2,0.0540771484375,1.0548580884933472,0.0062793046,-5.898773926496506,0.0003,0.026636293646879493,-0.056409697979688644,0.7950491160154343,-0.007889389971387573
36,112.63,-136.46475325,2942,147456,50,350,0.2,0.0556396484375,1.0552297830581665,0.006580488,-5.889190608263016,0.0003,0.05081134391948581,-0.0482172816991806,0.775444284081459,-0.006739770785497967
37,121.0,-151.14070616000004,2906,151552,52,360,0.2,0.0474365234375,1.0500140190124512,0.0056953374,-5.881034409999847,0.0003,0.031142772804014385,-0.05700306221842766,0.8781049996614456,-0.0070675287046469745
38,134.75,-148.29636799999997,2888,155648,53,370,0.2,0.0922607421875,1.0486538410186768,0.008549268,-5.8663950026035305,0.0003,0.05016005935613066,-0.060496650636196136,0.8035486787557602,-0.01015385232094559
39,136.66,-142.77424553999998,2897,159744,55,380,0.2,0.0590576171875,1.0450751781463623,0.0067424676,-5.857216149568558,0.0003,0.03860445008613169,-0.053235121071338654,0.8997672870755196,-0.008506335312267766
40,138.53,-142.44803204000002,2860,163840,57,390,0.2,0.0466552734375,1.0406177043914795,0.005659784,-5.84048416018486,0.0003,0.03204742181114852,-0.0523955263197422,0.870329737663269,-0.006867108099686448
41,140.65,-120.42896592999999,2859,167936,58,400,0.2,0.043505859375,1.0462342500686646,0.005450889,-5.841078990697861,0.0003,0.07156168213114142,-0.03218057006597519,0.7762410789728165,-0.006914309230342042
42,143.42,-110.21942996,2855,172032,60,410,0.2,0.0626220703125,1.044311761856079,0.007525185,-5.851149189472198,0.0003,0.0321562479250133,-0.04571325331926346,0.879157043993473,-0.007739537992165424
43,150.01,-92.02662994999999,2857,176128,61,420,0.2,0.0765380859375,1.0459461212158203,0.007996116,-5.8476420640945435,0.0003,0.036748115462251006,-0.057153284549713135,0.8767861798405647,-0.008459441167360637
44,153.89,-84.91555214000002,2849,180224,63,430,0.2,0.0713623046875,1.04807448387146,0.0072586443,-5.85498428940773,0.0003,0.030634250142611563,-0.0562148243188858,0.8823268115520477,-0.008568292699055746
45,161.28,-73.30369514,2844,184320,64,440,0.2,0.0699951171875,1.0506361722946167,0.007898621,-5.863778394460678,0.0003,0.023657817207276822,-0.05925702303647995,0.9296600744128227,-0.008239796267298516
46,166.14,-83.01089774,2837,188416,66,450,0.2,0.033154296875,1.0515671968460083,0.005184837,-5.871579670906067,0.0003,0.024910027475561945,-0.05495818704366684,0.8974622488021851,-0.006667137038311921
47,170.92,-77.93950923999999,2825,192512,68,460,0.2,0.0583740234375,1.0520118474960327,0.005686621,-5.873505353927612,0.0003,0.033066115062683824,-0.06192105636000633,0.9067442938685417,-0.00919298300286755
48,173.69,-71.17226645,2794,196608,70,470,0.2,0.0452880859375,1.0499107837677002,0.005695654,-5.871800267696381,0.0003,0.026529518747702242,-0.05268719792366028,0.8849117457866669,-0.006367663148557768
49,174.26,-76.8309813,2775,200704,72,480,0.2,0.0529052734375,1.0517281293869019,0.006157485,-5.87062366604805,0.0003,0.020013697363901885,-0.06102396547794342,0.9138351082801819,-0.008301095865317621
50,171.8,-62.96356849000001,2753,204800,74,490,0.2,0.0655029296875,1.049845814704895,0.006516941,-5.868315935134888,0.0003,0.021377981721889226,-0.06607019156217575,0.9342593401670456,-0.008538088662317023
51,172.07,-55.91953257,2743,208896,76,500,0.2,0.064990234375,1.0447641611099243,0.006504614,-5.855238604545593,0.0003,0.02310255100019276,-0.06027143821120262,0.9224959164857864,-0.008814131203689613
52,175.52,-58.67868800000001,2727,212992,78,510,0.2,0.0648681640625,1.0470337867736816,0.0069548627,-5.84933049082756,0.0003,0.017671050666831434,-0.06967224180698395,0.9408549666404724,-0.008890708888066002
53,175.85,-51.18824626999999,2731,217088,79,520,0.2,0.0822265625,1.052439570426941,0.007566831,-5.865209293365479,0.0003,0.01964133306173608,-0.055352695286273956,0.940442718565464,-0.010713777336059138
54,182.49,-43.00333964000001,2738,221184,80,530,0.2,0.087744140625,1.0474616289138794,0.008649573,-5.86635570526123,0.0003,0.01968032094882801,-0.06382866203784943,0.9348595961928368,-0.012150011865014677
55,180.78,-41.46553164,2745,225280,82,540,0.2,0.0644775390625,1.0487619638442993,0.0066906153,-5.857532244920731,0.0003,0.017110357619822027,-0.05927520990371704,0.9427184164524078,-0.008444192100432702
56,181.05,-38.37964210999999,2750,229376,83,550,0.2,0.0596435546875,1.0455466508865356,0.0065228753,-5.855960339307785,0.0003,0.01581934707937762,-0.06654953211545944,0.9358925372362137,-0.010754056235600728
57,179.36,-33.486754999999995,2756,233472,84,560,0.2,0.055712890625,1.044560194015503,0.006054026,-5.847804707288742,0.0003,0.013657647499348969,-0.06633201241493225,0.9482528008520603,-0.007931839756201953
58,182.83,-31.649522549999997,2761,237568,86,570,0.2,0.0729736328125,1.0419241189956665,0.0071109636,-5.839773535728455,0.0003,0.014305064582731574,-0.0732647106051445,0.94490871950984,-0.008533488109242171
59,186.38,-27.65779214,2755,241664,87,580,0.2,0.0448974609375,1.0427645444869995,0.0051684063,-5.835386943817139,0.0003,0.01415200683986768,-0.056834876537323,0.9497088119387627,-0.006223073264118284
60,189.23,-23.117525439999998,2750,245760,89,590,0.2,0.0416259765625,1.0363537073135376,0.0056198854,-5.826818525791168,0.0003,0.009961812588153407,-0.059735506772994995,0.9518816322088242,-0.005690384852641728
61,199.75,-14.636815079999998,2760,249856,90,600,0.2,0.0805908203125,1.0310043096542358,0.0073199915,-5.802648347616196,0.0003,0.008307734754635022,-0.0627574548125267,0.973745658993721,-0.008974697595112957
62,199.8,-14.949779060000001,2749,253952,92,610,0.2,0.074169921875,1.033828616142273,0.007332198,-5.796373164653778,0.0003,0.006918874301481992,-0.06397788971662521,0.9725227132439613,-0.007631254536681809
63,202.62,-13.044184730000005,2749,258048,93,620,0.2,0.0686279296875,1.036081314086914,0.0067129154,-5.806903117895127,0.0003,0.009184275765437632,-0.06351300328969955,0.9686451219022274,-0.008431809369358233
64,204.5,-13.64136443,2745,262144,95,630,0.2,0.0710205078125,1.0352107286453247,0.0081416,-5.807943451404571,0.0003,0.009999018523376434,-0.059088997542858124,0.973163515329361,-0.00872117330582114
65,209.92,-7.009298210000001,2739,266240,97,640,0.2,0.057421875,1.0353457927703857,0.0061345,-5.8072316408157345,0.0003,0.008405372616834939,-0.07065515965223312,0.9757636152207851,-0.007648532772145699
66,212.64,-0.36276472000000093,2740,270336,98,650,0.2,0.0556884765625,1.0347239971160889,0.0057401424,-5.806562727689743,0.0003,0.006213873642263934,-0.06979349255561829,0.9796685483306646,-0.006847342668334022
67,212.33,5.71333707,2741,274432,100,660,0.2,0.082275390625,1.0321619510650635,0.0071968604,-5.800556576251983,0.0003,0.006184694031253457,-0.07643764466047287,0.9827261194586754,-0.01015453053987585
68,214.89,8.71401106,2731,278528,101,670,0.2,0.069677734375,1.0337109565734863,0.006818005,-5.7967692613601685,0.0003,0.011988241062499582,-0.06338142603635788,0.9560918435454369,-0.007876024176948705
69,213.69,10.220437469999998,2732,282624,103,680,0.2,0.05556640625,1.0370595455169678,0.006372961,-5.805985766649246,0.0003,0.00547377640614286,-0.06561096012592316,0.9787227343767881,-0.0069834176829317585
70,215.96,7.710525239999999,2734,286720,104,690,0.2,0.0579833984375,1.0454919338226318,0.0062925667,-5.8306179404258724,0.0003,0.007524065650068223,-0.06255696713924408,0.9780223481357098,-0.0077897520211990924
71,212.3,5.582322319999999,2730,290816,106,700,0.2,0.0684814453125,1.0466290712356567,0.0067625362,-5.8507359504699705,0.0003,0.0059793481137603525,-0.07666294276714325,0.9799775928258896,-0.009014434841810725
72,215.23,7.963645500000002,2719,294912,108,710,0.2,0.0735107421875,1.0456583499908447,0.00815855,-5.8513482987880705,0.0003,0.005923163215629757,-0.06429992616176605,0.9835221115499735,-0.009543917147675529
73,215.79,12.145724220000002,2725,299008,109,720,0.2,0.0642822265625,1.0432474613189697,0.0071538556,-5.843316370248795,0.0003,0.006895709596574306,-0.06613949686288834,0.9810796938836575,-0.00787399266846478
74,223.85,22.438244849999997,2725,303104,111,730,0.2,0.0510498046875,1.046189546585083,0.005688928,-5.844415086507797,0.0003,0.01061556368949823,-0.0572240948677063,0.971063632518053,-0.008028140987153164
75,230.41,28.614157880000004,2732,307200,112,740,0.2,0.06708984375,1.0428054332733154,0.0066912854,-5.84395609498024,0.0003,0.007249264634447172,-0.06275825947523117,0.9739971086382866,-0.009958005975931883
76,231.06,30.642899149999998,2736,311296,113,750,0.2,0.0665283203125,1.0460561513900757,0.0066489163,-5.84161838889122,0.0003,0.004949184565339238,-0.07243478298187256,0.9839516561478376,-0.00868035364546813
77,237.03,31.113034930000005,2740,315392,115,760,0.2,0.0554443359375,1.0473209619522095,0.006048176,-5.85284194946289,0.0003,0.00486462936096359,-0.07276908308267593,0.9861150626093149,-0.009064911227324047
78,254.01,45.95671302000001,2745,319488,116,770,0.2,0.08349609375,1.0496634244918823,0.007519069,-5.856937152147293,0.0003,0.0060797856218414385,-0.06735645234584808,0.9765263590961695,-0.010629825526848435
79,261.69,50.20746921999999,2753,323584,117,780,0.2,0.0931396484375,1.045074462890625,0.009119216,-5.855252742767334,0.0003,0.004209081141743809,-0.07170192897319794,0.9888252569362521,-0.011573768456582912
80,287.38,82.53748939,2757,327680,118,790,0.2,0.0906494140625,1.0472311973571777,0.008594716,-5.849024331569671,0.0003,0.004053812549682334,-0.07652828097343445,0.9891775520518422,-0.011631027417024598
81,295.74,89.38295875,2758,331776,120,800,0.2,0.0714599609375,1.044505000114441,0.008612221,-5.8481906116008755,0.0003,0.16877182449679823,-0.033354952931404114,0.724044919013977,-0.004279807169223204
82,310.85,101.04065515,2749,335872,122,810,0.2,0.0553466796875,1.04012131690979,0.0069033448,-5.835088223218918,0.0003,0.008709433226613328,-0.06957779079675674,0.9737300220876932,-0.007970188901526853
83,329.69,116.47167124999996,2745,339968,123,820,0.2,0.0914306640625,1.0334022045135498,0.00812363,-5.814999407529831,0.0003,0.0035351067170267926,-0.0736108049750328,0.9895805679261684,-0.011042650422314181
84,352.02,156.93869765,2747,344064,125,830,0.2,0.1228515625,1.0308303833007812,0.009918686,-5.797539854049683,0.0003,0.003956130068399943,-0.07149013876914978,0.9841901753097773,-0.013397472799988463
85,380.08,201.36259170999995,2749,348160,126,840,0.2,0.075830078125,1.0302938222885132,0.008686241,-5.792958003282547,0.0003,0.3194283489137888,0.0720977634191513,0.5115338563919067,-0.004960296786157415
86,405.4,234.64830986999996,2750,352256,128,850,0.2,0.08271484375,1.0274251699447632,0.01008407,-5.785838788747787,0.0003,0.3493902894668281,-0.00989728793501854,0.46922779083251953,-0.004868710340815596
87,430.87,288.12739675999995,2751,356352,129,860,0.2,0.07060546875,1.0307141542434692,0.007230228,-5.785370820760727,0.0003,0.16731141358613968,-0.05130314826965332,0.7101653218269348,-0.00563893504004227
88,457.67,343.9269696999999,2747,360448,131,870,0.2,0.07060546875,1.0298435688018799,0.0072933966,-5.7911094427108765,0.0003,0.47145850844681264,0.20613300800323486,0.2785762548446655,-0.004341766289144289
89,469.84,376.35389809000003,2739,364544,133,880,0.2,0.104931640625,1.0298066139221191,0.011238113,-5.787967002391815,0.0003,0.46958564072847364,0.02105536311864853,0.5075041949748993,-0.006384697280009277
90,498.82,431.04424356,2740,368640,134,890,0.2,0.07265625,1.0234334468841553,0.008894015,-5.777861374616623,0.0003,0.3053199911024421,0.08541817963123322,0.6533492207527161,-0.004884160793153569
91,517.62,454.44997055,2744,372736,135,900,0.2,0.0350341796875,1.0245413780212402,0.00517648,-5.764226233959198,0.0003,0.5460418909788132,0.08728049695491791,0.48102831840515137,-0.003924896905664355
92,539.0,481.56290664000005,2746,376832,137,910,0.2,0.0962158203125,1.0207566022872925,0.008401819,-5.760646283626556,0.0003,0.145825661229901,0.13588756322860718,0.8100142329931259,-0.005822301190346479
93,571.57,543.8951061399999,2746,380928,138,920,0.2,0.0660400390625,1.0223466157913208,0.0073979823,-5.753729039430619,0.0003,0.14790636247489602,0.0288458913564682,0.796624094247818,-0.004693423572462052
94,569.03,528.92274318,2746,385024,140,930,0.2,0.0595947265625,1.0238730907440186,0.007254754,-5.759304124116897,0.0003,0.6472200771793724,0.09460297971963882,0.4245699644088745,-0.004907930587069132
95,578.3,557.4517237,2754,389120,141,940,0.2,0.0767822265625,1.0160731077194214,0.0074305804,-5.749716126918793,0.0003,0.011005691561149434,-0.06829997897148132,0.9795946162194014,-0.009704714216059073
96,620.04,651.8435310499999,2761,393216,142,950,0.2,0.113037109375,1.0184365510940552,0.009096255,-5.735935020446777,0.0003,0.30673641883768143,0.028394736349582672,0.12740522623062134,-0.004650911141652614
97,635.05,679.3453594399999,2769,397312,143,960,0.2,0.0563720703125,1.0247976779937744,0.0062719304,-5.7545214772224424,0.0003,0.8811860453337431,0.29886674880981445,0.15556812286376953,-0.004671479956596158
98,653.69,727.4643213800002,2775,401408,144,970,0.2,0.0757080078125,1.027348518371582,0.009632356,-5.77305913567543,0.0003,0.2791320958174765,-0.036909084767103195,0.6233602166175842,-0.0036843676905846225
99,675.13,777.6474149300001,2776,405504,146,980,0.2,0.106103515625,1.0258370637893677,0.010553082,-5.7759404361248015,0.0003,0.38211970403790474,0.010038286447525024,0.5557405948638916,-0.006206809892319143
100,689.23,828.1926351900001,2778,409600,147,990,0.2,0.106640625,1.0280579328536987,0.009324107,-5.776004695892334,0.0003,0.34417057037353516,0.12647883594036102,0.505632072687149,-0.004327469418058172
101,691.35,844.8932434900001,2786,413696,148,1000,0.2,0.0826171875,1.0263183116912842,0.009042313,-5.778279411792755,0.0003,0.5711282942444086,0.17837372422218323,0.13679438829421997,-0.0050359931425191466
102,681.72,838.86847374,2794,417792,149,1010,0.2,0.046728515625,1.026335597038269,0.005729273,-5.773817265033722,0.0003,0.6670689426362515,0.2706701457500458,0.4724171757698059,-0.0025757536495802924
103,697.09,883.0182214100001,2800,421888,150,1020,0.2,0.0806884765625,1.0236327648162842,0.007756495,-5.769208568334579,0.0003,0.2824591132812202,0.03185126930475235,0.717850536108017,-0.004724384399014525
104,699.11,894.8961558799998,2791,425984,152,1030,0.2,0.0890380859375,1.025183081626892,0.008781477,-5.766471672058105,0.0003,0.5463589955121279,0.25928932428359985,0.2356615662574768,-0.0054765303095337
105,720.44,929.3214410499999,2771,430080,155,1040,0.2,0.0804443359375,1.0260365009307861,0.008275192,-5.771683084964752,0.0003,0.4043035483919084,0.20228154957294464,0.3034256100654602,-0.004230208668741397
106,731.36,961.3059196200002,2776,434176,156,1050,0.2,0.077734375,1.025920033454895,0.009183879,-5.772985273599625,0.0003,0.5608468843623996,0.13775308430194855,0.16532641649246216,-0.00465700012864545
107,741.99,966.8965441400001,2774,438272,157,1060,0.2,0.1006103515625,1.0250109434127808,0.008269377,-5.770906299352646,0.0003,0.5261099651455879,0.31190025806427,0.3262019753456116,-0.005564577988116071
108,742.45,967.01140566,2781,442368,159,1070,0.2,0.111669921875,1.0194222927093506,0.009669243,-5.757281523942948,0.0003,0.2862881299108267,0.07046506553888321,0.7340011298656464,-0.006867425460950471
109,740.41,987.7858008499998,2788,446464,160,1080,0.2,0.0913330078125,1.0199320316314697,0.008262446,-5.747693413496018,0.0003,0.28893095839302985,0.14800791442394257,0.5256378352642059,-0.005689902388257906
110,735.73,1007.1747244499998,2797,450560,161,1090,0.2,0.101171875,1.0151383876800537,0.008766606,-5.738753300905228,0.0003,0.5442384861409664,0.18565388023853302,0.5113477110862732,-0.0058421712019480765
111,745.12,1042.5835258,2805,454656,162,1100,0.2,0.0950439453125,1.0150976181030273,0.0097574275,-5.729256725311279,0.0003,0.4246935366652906,0.17334258556365967,0.2924031615257263,-0.006853008945472539
112,756.4,1074.2684351999999,2787,458752,164,1110,0.2,0.1150390625,1.012339472770691,0.010116891,-5.725601702928543,0.0003,0.5380344167351723,0.3349250853061676,0.3380410671234131,-0.006407813337864355
113,758.98,1099.64671655,2785,462848,166,1120,0.2,0.0904052734375,1.0094006061553955,0.007852899,-5.712330055236817,0.0003,0.5749337211251259,0.03992494195699692,0.4313949942588806,-0.0066437153262086214
114,751.88,1087.07321764,2783,466944,167,1130,0.2,0.077880859375,1.0126771926879883,0.0066854963,-5.709671062231064,0.0003,0.2681781702209264,0.044386304914951324,0.40148448944091797,-0.0038405265600886195
115,708.41,1008.3187372199998,2780,471040,169,1140,0.2,0.0551025390625,1.0148510932922363,0.0068224235,-5.722922652959824,0.0003,0.675572799704969,0.3356787860393524,0.2942435145378113,-0.0028738319873809815
116,688.99,982.1872003199999,2782,475136,170,1150,0.2,0.1025634765625,1.010454773902893,0.011676751,-5.718008399009705,0.0003,0.3187741210218519,0.047510311007499695,0.7258719205856323,-0.005427738977596163
117,691.67,1000.3580232599999,2785,479232,172,1160,0.2,0.1203369140625,1.0112826824188232,0.011555076,-5.70943221449852,0.0003,0.2901597073767334,0.09612305462360382,0.6089846193790436,-0.006643535272451118
118,703.8,1036.48873901,2786,483328,173,1170,0.2,0.09931640625,1.011817455291748,0.00855566,-5.71597455739975,0.0003,0.6508193150162697,0.2794373035430908,0.26192706823349,-0.007073372398735955
119,719.97,1074.53853465,2788,487424,174,1180,0.2,0.117724609375,1.0082818269729614,0.01074099,-5.709463691711425,0.0003,0.5072075029835105,0.14757871627807617,-0.03225052356719971,-0.00544699649035465
120,731.33,1106.70624462,2791,491520,176,1190,0.2,0.087939453125,1.0126090049743652,0.008548155,-5.710336542129516,0.0003,0.48364985138177874,0.09158070385456085,0.11300468444824219,-0.00615300735225901
121,714.7,1073.0103031,2796,495616,177,1200,0.2,0.1222900390625,1.0144295692443848,0.008718256,-5.7237058818340305,0.0003,0.5351223152130842,0.15803635120391846,0.015871286392211914,-0.00551063499879092
122,697.77,1050.80971315,2798,499712,178,1210,0.2,0.0919189453125,1.015190601348877,0.009160984,-5.727417308092117,0.0003,0.5381946068257093,0.2013254463672638,0.263319194316864,-0.004757738811895252
123,676.14,1011.7136477399998,2799,503808,179,1220,0.2,0.0834228515625,1.0185372829437256,0.008573223,-5.735918897390365,0.0003,0.5412243908271194,0.24420276284217834,0.4453291893005371,-0.005272278733900748
124,688.84,1054.06389653,2801,507904,181,1230,0.2,0.11630859375,1.0187302827835083,0.008721424,-5.744555997848511,0.0003,0.47294404478743673,0.14447897672653198,0.49863338470458984,-0.007323484911466949
125,672.19,1031.4248660100002,2798,512000,182,1240,0.2,0.116259765625,1.023630976676941,0.012161974,-5.753727293014526,0.0003,0.5318305067718029,0.06589565426111221,0.21986138820648193,-0.006044418949750252
126,689.36,1066.6258376900003,2802,516096,184,1250,0.2,0.093115234375,1.0203194618225098,0.008631703,-5.758596688508987,0.0003,0.548357123695314,0.22142592072486877,0.45697659254074097,-0.007043092604726553
127,689.71,1064.5447672400003,2798,520192,185,1260,0.2,0.098779296875,1.0208302736282349,0.007972276,-5.75097159743309,0.0003,0.39619637578725814,0.19065052270889282,0.2881995439529419,-0.006954370177118108
128,697.94,1083.26182823,2797,524288,187,1270,0.2,0.1162841796875,1.0209591388702393,0.009959178,-5.752253311872482,0.0003,0.6534820854663849,0.27983665466308594,0.4762052297592163,-0.006409823329886421
129,713.1,1118.5148971400001,2792,528384,189,1280,0.2,0.1072021484375,1.023708462715149,0.010638103,-5.757367986440658,0.0003,0.2651103497482836,-0.04769020527601242,0.19722890853881836,-0.006698506433167495
130,722.04,1148.7759067700001,2792,532480,190,1290,0.2,0.1029052734375,1.021660327911377,0.008315781,-5.7570049345493315,0.0003,0.8028105828911066,0.2550908327102661,0.27757537364959717,-0.007505582558223978
131,729.96,1161.6774001099998,2794,536576,192,1300,0.2,0.0957275390625,1.0278451442718506,0.010610082,-5.762933987379074,0.0003,0.27255522469058635,0.10338480770587921,0.012520015239715576,-0.0053374970819277225
132,737.06,1177.71377925,2798,540672,193,1310,0.2,0.067578125,1.0269850492477417,0.0068142186,-5.776064693927765,0.0003,0.7870700176805258,0.23649482429027557,-0.020084142684936523,-0.0043016045630793085
133,758.88,1224.9601564400002,2802,544768,194,1320,0.2,0.1349853515625,1.0260698795318604,0.011858808,-5.7710055112838745,0.0003,0.26503287244122475,0.11149916052818298,0.012685120105743408,-0.006000897035119124
