episode,total_reward,steps,target_y,final_com_y,final_h,failed,final_error
1,1933.069795936346,1000,-0.023560145155799135,-0.025537036074578093,0.9579384910898094,False,-0.0019768909187789577
2,1947.4269836246967,1000,-0.015552117113087877,-0.017274519184804,0.9633531474102952,False,-0.001722402071716124
3,1920.3908897861838,1000,0.03209400264846103,0.031764772611513316,0.9929951055968571,False,-0.0003292300369477155
4,1952.2719086706638,1000,0.014752682854270172,0.014045241856952731,0.984948063886863,False,-0.0007074409973174406
5,1916.1434916676953,1000,-0.03381841419070459,-0.03606910167205206,0.9521130323117559,False,-0.00225068748134747
6,1907.1441244576126,1000,0.04123879508415057,0.04099874683632384,0.9948925904717717,False,-0.000240048247826731
7,1918.1042021019384,1000,-0.032458548993026824,-0.03467702694502197,0.9527983414469118,False,-0.002218477951995146
8,1922.7575147580355,1000,-0.03020153158893451,-0.03236358901962695,0.9539987780703736,False,-0.002162057430692442
9,1931.0709962621331,1000,0.025721272108787635,0.02528260261810222,0.9906666065811613,False,-0.0004386694906854151
10,1906.451910241507,1000,0.0425043151635183,0.04227008318836497,0.9950163409541846,False,-0.00023423197515332755
11,1929.2003254760057,1000,-0.025371481343334112,-0.027401548191610316,0.9568070883345489,False,-0.0020300668482762033
12,1936.9314695447683,1000,-0.02071645971433934,-0.02260634149768881,0.9597897492904368,False,-0.0018898817833494681
13,1955.638941258192,1000,0.012903778457544167,0.012142548605777952,0.983803620175187,False,-0.0007612298517662153
14,1901.6808376219124,1000,-0.04488973383600048,-0.047349493343607066,0.9476646913275194,False,-0.0024597595076065876
15,2000.0,1000,0.0011238805219482353,-1.9549257580484196e-05,0.9756717068185379,False,-0.0011434297795287196
16,1917.75607775338,1000,-0.033873951399173874,-0.03612588186342785,0.9520865858669367,False,-0.0022519304642539748
17,1946.9254474937916,1000,-0.015898311343231716,-0.017632268435079097,0.9631072959181408,False,-0.0017339570918473816
18,1911.6720496080816,1000,0.03933851288165392,0.03908666518511465,0.9946415383715049,False,-0.0002518476965392702
19,1998.953057229519,1000,-0.0014454394432683038,-0.0026780996338648193,0.9737731874341167,False,-0.0012326601905965156
20,1904.779147779569,1000,-0.04231381174561662,-0.04473372705027951,0.9485124403263214,False,-0.002419915304662894
