episode,total_reward,steps,target_y,final_com_y,mean_abs_ankle_eversion_deg,max_abs_ankle_eversion_deg,mean_abs_ankle_flexion_deg,max_abs_ankle_flexion_deg,mean_abs_hip_abduction_deg,max_abs_hip_abduction_deg,mean_abs_hip_flexion_deg,max_abs_hip_flexion_deg,final_error
1,97.90118127957138,1000,0.007302828318105484,0.008364493489076277,0.1614626423216628,0.5909145495325657,14.10566334390825,15.114927657156304,2.507954750085473,3.0807584292294563,1.5350972083677508,7.011544370924643,0.001061665170970793
2,97.77198688362424,1000,-0.031064419634394838,-0.030403396617307305,5.35183453905159,5.526710693083623,12.090951297868523,13.003830109456805,12.82598140506056,14.639075902802428,3.6482570689660787,4.478252843793168,0.0006610230170875329
3,97.22449787066807,1000,0.025577427490925064,0.02634737143580043,2.754906588819965,2.8911919658351417,15.12236240280617,16.104994089171846,2.4456090456231094,4.968665866060932,0.6689436703176136,8.97729004328504,0.0007699439448753641
4,97.61886452459161,1000,-0.035458329943728474,-0.03478707354032888,5.9834241855567925,6.176024874255349,11.829772429216108,12.782397810164602,14.006551202449117,16.05030496996065,3.845548478182398,4.772742580356344,0.0006712564033995935
5,97.53602946504608,1000,0.01936839892372151,0.02026305958843058,1.865279088040889,1.9902924987944592,14.779380263173076,15.814268837374765,0.7743295396360429,2.819953202356741,0.9474143940559328,8.312102990676133,0.0008946606647090675
6,96.83540000629246,1000,0.03218591784993223,0.032824291923055894,3.701715159371516,3.88279665612401,15.48489629386616,16.55841256707675,4.222270403186423,7.128249805114445,0.5092880114643489,9.756261678719001,0.000638374073123664
7,96.89584582125198,1000,0.032613614770172425,0.03319378942279796,3.7532490670556315,3.928891830079783,15.456377695003845,16.55004425985342,4.2952015547620555,6.922220728888716,0.6231605357118185,10.13678457129656,0.0005801746526255327
8,96.9137471064862,1000,-0.04638131126270252,-0.04613529684143732,7.549261909785113,7.76967314026475,11.212827994374514,12.133880093908585,16.956748640273997,19.70156804177631,4.35732362395864,5.271679456301571,0.00024601442126519907
9,98.17287896576522,1000,-0.011812512353446637,-0.010749983209760472,2.605775835680285,2.7191894411030724,13.07151111448403,14.081868111259062,7.6676197697389386,8.19208320783597,2.5152673213456103,5.088747592717722,0.001062529143686165
10,96.541187324736,1000,0.03531646989274882,0.03582450667530903,4.151309013411202,4.30615809661803,15.670352560072129,16.652539552589815,5.078337434589485,8.022315559656091,0.5234275522716799,10.305104500061413,0.0005080367825602075
11,96.80076896310425,1000,0.03343617065439969,0.03402251578042965,3.873932324435662,4.053772299629343,15.520311384896855,16.55902365654957,4.5372107703134885,7.387392782802295,0.5153904837091118,10.069584003980763,0.0005863451260299593
12,98.0586463542729,1000,-0.02650116180829211,-0.025807878224426015,4.713637987465768,4.8690608840401675,12.274331554631209,13.215520304480753,11.647531256518498,13.142665877153844,3.2376386135479307,4.089285381754773,0.0006932835838660938
13,97.88256775228159,1000,0.0007101697967775711,0.0017551266457973005,0.8074422315227866,1.1190668602326703,13.765904377048768,14.75303315630085,4.293191573512759,5.071050937006861,1.916490346560477,6.48967879219291,0.0010449568490197294
14,98.17142396201646,1000,-0.01721735322198477,-0.016317871910566873,3.378177685368105,3.497625450722507,12.799892706804764,13.790784448759506,9.123779603502149,9.978134903672478,2.8074538618157834,4.433958004420823,0.0008994813114178955
15,97.65012363979103,1000,-0.03402951209474005,-0.033450594400663725,5.77308325359446,5.9578727912385965,11.95215109770566,12.85412386939429,13.598841242458462,15.408235101174112,3.850323727497324,4.770561934178314,0.0005789176940763224
16,95.95273937407909,1000,0.043815931338357414,0.04406428834296794,5.348314022796721,5.553748980074203,16.0476076178285,17.09953775825509,7.303036939751102,10.817036118088291,1.0552861231054629,11.742924425300998,0.0002483570046105249
17,98.01347012366533,1000,-0.0013027979515119609,-0.00028089481191370517,1.1037488088025689,1.3033286999224016,13.627170076376276,14.56445038764952,4.860571558896802,5.5312761021717005,1.9192605934753064,6.493329638014283,0.0010219031395982557
18,97.57418148094332,1000,0.017687520996233733,0.018630584034147076,1.6295069681852277,1.7427621666183095,14.709325754190857,15.725242293490453,0.3457296134622845,2.253897436594097,1.094676634589964,8.072334267999638,0.0009430630379133435
19,95.50870703280306,1000,0.046605436224068666,0.04663604501612634,5.750114127773259,5.956823420277754,16.212569991713778,17.235235372250575,8.083759403927557,11.859056614541586,1.1318176017432606,12.386739524494239,3.0608792057670864e-05
20,97.32414546992388,1000,-0.040563371466811826,-0.0400525255427832,6.714407669951152,6.927649567566479,11.550068296917003,12.502437812313257,15.38135157977459,17.638857603238797,4.098109557948072,5.039200806024653,0.0005108459240286273
