trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,best_dtw,mean_rmse_same_dir,mean_corr_same_dir,mean_dtw_same_dir
1,-1.0,40,38,0.06986724268625022,0.15933981926212484,0.006182710134596468,0.08020016105768824,0.13921133456252086,0.03358617388188492
2,-1.0,40,5,0.03183028035663179,0.034591669411882596,0.014551264342303727,0.08220239923850227,0.09250183616153836,0.050962482946291784
3,-1.0,40,1,0.07699742872822438,0.1233856049227363,0.0056898655835358495,0.08233479856140977,0.11147673058240111,0.036196241224915306
4,-1.0,40,2,0.10195321239510734,0.14322258121676273,0.0035573372495208725,0.08311189358666593,0.1217756237347686,0.036694372195735736
5,-1.0,40,26,0.0648241520730604,0.10357534747623551,0.006840089654974579,0.08410978954651294,0.09678580205148424,0.03929476647369855
6,-1.0,40,4,0.02816046412951331,0.07932376921261525,0.011304279150288898,0.07954615203311616,0.11015249771699946,0.044307139442500795
7,-1.0,40,5,0.026715306910748023,0.018826167673040187,0.009296238159237396,0.08569712903768648,0.060516771505176634,0.04882388904950046
8,-1.0,40,30,0.08174391405944319,0.11816146213889374,0.006133801947063339,0.0838833255571278,0.10777540015900859,0.03623336621054611
9,-1.0,40,19,0.04846493974881366,0.09624643367801405,0.012026662425404153,0.08384145824221934,0.09345489041618753,0.04475482042264394
10,-1.0,40,30,0.08227958514014269,0.11879654035820753,0.005926955017219174,0.08374691946064663,0.10934419434082461,0.03700984879860354
11,-1.0,40,5,0.0022023762697492614,0.32225242565414247,0.0016288105018581731,0.0842476504294327,0.06234441292618011,0.08286575490380034
12,-1.0,40,30,0.0521892369820235,0.3244857727242673,0.007605320950814015,0.06635334613076603,0.2829383395208207,0.03363132393529468
13,-1.0,40,30,0.07956582211613518,0.14317640533778797,0.006227930988031208,0.0828779759910722,0.12843329568316228,0.0325329889946532
14,-1.0,40,5,0.02918837897064652,0.027096398347796855,0.01056054145835887,0.08454174350898028,0.07139273986115371,0.04741565951888471
15,-1.0,40,2,0.10366696377862433,0.11814816386602221,0.005163975936842252,0.0856935922338418,0.09972357126794903,0.034769312255965926
16,-1.0,40,1,0.07370345551598462,0.1282426165363695,0.00672837671611762,0.08021653659702926,0.11661452201677378,0.035961364216677116
17,-1.0,40,2,0.1000576499966229,0.15523219786856216,0.004832439698582482,0.08146904752101958,0.1317160490159734,0.036263694119802625
18,-1.0,40,38,0.07735533664388136,0.09972597224646698,0.0061361710346793325,0.08485011047088903,0.08931896773369123,0.03899808706943546
19,-1.0,40,20,0.04429890133876996,0.0976938056456441,0.009830495360280002,0.08464057657206585,0.08381432451881736,0.04423006776657386
20,-1.0,40,19,0.04810848938498451,0.09451405955222682,0.006517840245420317,0.08350941118013622,0.09125140923843955,0.04410366455212657
21,-1.0,40,1,0.07903707374576253,0.10735094713204354,0.0075551331606436,0.08508834230547006,0.09783062433993217,0.03697573748679848
22,-1.0,40,2,0.10231847309624821,0.13113634277266087,0.005108972981029396,0.08478883969299496,0.11080800279494421,0.03452178427657247
23,-1.0,40,26,0.06708602513318124,0.08932573801199017,0.007387646557009333,0.08544273147696801,0.08312972117603565,0.04432913758574452
24,-1.0,40,5,0.0014984025301342484,0.2765932908727066,0.0010641074044800381,0.08552462722115728,-0.19842045238896092,0.08422358933156428
25,-1.0,40,30,0.047637690915908325,0.3609172303149176,0.007805605175211032,0.06423410856880796,0.31394828091141175,0.03459664687678856
26,-1.0,40,5,0.03094617822035469,0.020773571577652427,0.011648260607678923,0.08445956747867345,0.07985283026032367,0.0466575863222233
27,-1.0,40,34,0.0695141248807392,0.10464777690543232,0.0056915745135834835,0.08405375670133093,0.09360451613398371,0.040308245879687635
28,-1.0,40,1,0.07927009132200896,0.10713080136596097,0.005032651091862812,0.08418728849204542,0.09896104442311256,0.03777834028452962
29,-1.0,40,20,0.04322856656987761,0.0989624762979377,0.0085439298578693,0.08406197904100966,0.08457733756762115,0.04394907555240041
30,-1.0,40,26,0.06544261775999434,0.1095414347233551,0.006107185509982272,0.08410165082692336,0.10124917749431203,0.04257648388433438
31,-1.0,40,5,0.0017429255020004796,0.20530136208503713,0.001327477568821384,0.08531487149014032,0.03059110335193898,0.08416133583405705
32,-1.0,40,30,0.04133477152487232,0.41243024826260855,0.008848243264157533,0.0623598968654834,0.3575250039164489,0.036970370270496225
33,-1.0,40,38,0.0748757743005625,0.11656797934500741,0.003939331242943125,0.08259900035347781,0.10355012833825974,0.03837870124731655
34,-1.0,40,1,0.07901293109196537,0.11351565702174801,0.0062831843078783685,0.0838650926933591,0.10328652881306244,0.037801498949428435
35,-1.0,40,30,0.08175217289539718,0.12189409153483918,0.004733062187173855,0.08313807687999883,0.11131571584906585,0.03686509208821196
36,-1.0,40,28,0.06886026842570336,0.10202801782608217,0.005794335998888687,0.08388713190834503,0.09821310568427404,0.04004195864758546
37,-1.0,40,2,0.09316540186643035,0.18398320158971612,0.00697411474539284,0.08133393285620319,0.15567959121551198,0.031182101624642522
38,-1.0,40,26,0.06619397911960366,0.09127187387186317,0.00614384495431281,0.0846384046910245,0.08536637048641922,0.0438478388633667
39,-1.0,40,38,0.07547287988366805,0.12180590807088443,0.005571241744780527,0.08309633223957906,0.10771324179001537,0.03807466342525245
40,-1.0,40,38,0.07556996698375153,0.12429284055374988,0.005300651346882662,0.08358150457767828,0.11007633477245946,0.037412175701226354
41,-1.0,40,30,0.07964052865918092,0.13540582443663657,0.005688506463066953,0.08212740207209171,0.12200179154646977,0.03577258428423534
42,-1.0,40,6,0.04433385713717685,0.11925185865537281,0.007878376906492072,0.08296809509833565,0.09872800393255236,0.042736799858477455
43,-1.0,40,30,0.07128465183225702,0.1956816191628665,0.009257761695964144,0.08018573706947815,0.17248098048113358,0.03235450072118649
44,-1.0,40,30,0.08252064668816061,0.10772678960547977,0.005711428914292235,0.08345371665559102,0.09940130087962185,0.03707042026883107
45,-1.0,40,5,0.002816196853898455,-0.034434258051975995,0.0020847384310702837,0.08335143353375392,0.20413246549970804,0.08197601915571096
46,-1.0,40,30,0.05180274941405549,0.32761351057759447,0.007743913577303456,0.06614225909772818,0.28560314224140926,0.033603256484204244
47,-1.0,40,20,0.043474859968953505,0.12002929582698921,0.009564741015364725,0.08381246680399643,0.10343165760917236,0.04344667981002133
48,-1.0,40,2,0.09919319846471171,0.15158961098448748,0.004092022563626271,0.08191699344882412,0.1279376164716132,0.03142181379716865
49,-1.0,40,30,0.08072647321697866,0.11901071899377716,0.003230746399368017,0.08213051602677227,0.10930745821108775,0.03583090307222593
50,-1.0,40,15,0.07156133741485839,0.11625096274564783,0.006302088747928645,0.08381986812361313,0.10463956103757352,0.03945916095152966
