episode,total_reward,steps,mean_abs_angle_deg,max_abs_angle_deg,mean_abs_action
1,-0.002713597724418444,1000,0.09400573390902724,0.12420967242319601,6.365691311657428e-05
2,-0.0028763470731817523,1000,0.0947651593445546,0.3131086443092712,0.0001225616754963994
3,-0.002975843786673649,1000,0.09590379976185853,0.3180641234777909,0.00013567686080932618
4,-0.00333607573178687,1000,0.09738797414217779,0.3192927878454029,0.00025685325358062983
5,-0.0030968281053280534,1000,0.09654152726505294,0.29457756658841594,0.00018562023900449277
6,-0.00514714572193968,1000,0.10052296029375646,0.5265790916699352,0.0005436026882380247
7,-0.003233089214187315,1000,0.09522726527215786,0.5548602952907215,0.0001895138528198004
8,-0.003049289279813596,1000,0.09559709241717498,0.23029267123259883,0.00020553230121731758
9,-0.002794050764123833,1000,0.0948200468828003,0.23589817413318062,8.944944851100445e-05
10,-0.0028334312329244995,1000,0.09547941617210537,0.18182801991024872,9.646853804588318e-05
11,-0.003058758728313733,1000,0.09505378597145563,0.5155256513687028,0.00015644522197544574
12,-0.0027688124692749516,1000,0.09435831385935799,0.18108761935661513,0.0001009102500975132
13,-0.003590644752579211,1000,0.09771389519270951,0.36644548898606977,0.0003254346437752247
14,-0.0035586874675009425,1000,0.09805004547549143,0.3349827492383415,0.0003036162704229355
15,-0.003227490521658086,1000,0.09615986665014734,0.2987073169632983,0.0002533340472728014
16,-0.0033398710999796573,1000,0.09582829578288442,0.5702027734132559,0.0002501507746055722
17,-0.0028426207119441643,1000,0.09390388942446065,0.2928865144105831,0.00013394578080624342
18,-0.0038639728547921674,1000,0.09801725477046838,0.39531496712407477,0.0003800834268331528
19,-0.003414693095278109,1000,0.09734438284887713,0.299321867356557,0.00027368513867259025
20,-0.0037535753366527685,1000,0.0984081107494357,0.36372812487149847,0.0003391628824174404
