step,ankle,knee,hip,trunk
1.800000000000000000e+01,3.744234282521227003e-02,1.502663415950443969e-02,-4.049296600217487663e-02,4.411086107114596533e-02
1.900000000000000000e+01,3.786407951327154520e-02,1.528657436392812791e-02,-4.084292622987355237e-02,4.418777643775202019e-02
2.000000000000000000e+01,3.831020342237222848e-02,1.556218074818712695e-02,-4.119391961849106637e-02,4.426409832367442926e-02
2.100000000000000000e+01,3.878072088680800666e-02,1.585385311453091015e-02,-4.154579886023168633e-02,4.433990780299520984e-02
2.200000000000000000e+01,3.927567400659912750e-02,1.616199461987621530e-02,-4.189844346199147335e-02,4.441526170719153205e-02
2.300000000000000000e+01,3.979513625829654566e-02,1.648701524460442075e-02,-4.225175262334204818e-02,4.449019833873917029e-02
2.400000000000000000e+01,4.033920906209984003e-02,1.682933459485372665e-02,-4.260563964755417765e-02,4.456474193718138604e-02
2.500000000000000000e+01,4.090801909757737359e-02,1.718938418893774939e-02,-4.296002754704644072e-02,4.463890617249255399e-02
2.600000000000000000e+01,4.150171620588227750e-02,1.756760934551677630e-02,-4.331484557900125432e-02,4.471269688019575278e-02
2.700000000000000000e+01,4.212047175194395809e-02,1.796447076539866433e-02,-4.367002650490833804e-02,4.478611420558861744e-02
2.800000000000000000e+01,4.276447734788418192e-02,1.838044587875863750e-02,-4.402550441306402051e-02,4.485915428767783125e-02
2.900000000000000000e+01,4.343394386057602280e-02,1.881603001389729052e-02,-4.438121297837429452e-02,4.493181058474485234e-02
3.000000000000000000e+01,4.412910064317436543e-02,1.927173743143342777e-02,-4.473708406136708143e-02,4.500407492108975116e-02
3.100000000000000000e+01,4.485019494364243103e-02,1.974810225829558286e-02,-4.509304656981919651e-02,4.507593831704170134e-02
3.200000000000000000e+01,4.559749145359746209e-02,2.024567934844217695e-02,-4.544902552317768574e-02,4.514739165070318777e-02
3.300000000000000000e+01,4.637127196883573249e-02,2.076504509144427163e-02,-4.580494127304136909e-02,4.521842618926719126e-02
3.400000000000000000e+01,4.717183513916986537e-02,2.130679818554712807e-02,-4.616070884317696743e-02,4.528903401945529733e-02
3.500000000000000000e+01,4.799949629010762803e-02,2.187156038830622568e-02,-4.651623736050737590e-02,4.535920840015587874e-02
3.600000000000000000e+01,4.885458730272279615e-02,2.245997725515140250e-02,-4.687142955472077543e-02,4.542894405529514928e-02
3.700000000000000000e+01,4.973745654105252850e-02,2.307271887409808458e-02,-4.722618130899297606e-02,4.549823742103741020e-02
3.800000000000000000e+01,5.064846881868471234e-02,2.371048060316414269e-02,-4.758038124809257224e-02,4.556708685834049560e-02
3.900000000000000000e+01,5.158800539801779161e-02,2.437398381576047837e-02,-4.793391035308274678e-02,4.563549283949747126e-02
4.000000000000000000e+01,5.255646401709609949e-02,2.506397665832181890e-02,-4.828664159412848766e-02,4.570345811542855102e-02
4.100000000000000000e+01,5.355425894003335713e-02,2.578123482366838706e-02,-4.863843957470569829e-02,4.577098786903129046e-02
4.200000000000000000e+01,5.458182102790443135e-02,2.652656234298909899e-02,-4.898916018190067195e-02,4.583808985876212938e-02
4.300000000000000000e+01,5.563959782766295797e-02,2.730079239887478471e-02,-4.933865023857183368e-02,4.590477455573862414e-02
4.400000000000000000e+01,5.672805367717285302e-02,2.810478816147519640e-02,-4.968674715398774255e-02,4.597105527696270649e-02
4.500000000000000000e+01,5.784766982485648606e-02,2.893944364958274049e-02,-5.003327857020928304e-02,4.603694831672965754e-02
4.600000000000000000e+01,5.899894456278693966e-02,2.980568461824100596e-02,-5.037806200199143603e-02,4.610247307787040949e-02
4.700000000000000000e+01,6.018239337230674169e-02,3.070446947432268689e-02,-5.072090446837174138e-02,4.616765220415124105e-02
4.800000000000000000e+01,6.139854908145484652e-02,3.163679022140811897e-02,-5.106160211441616859e-02,4.623251171490345285e-02
4.900000000000000000e+01,6.264796203364077221e-02,3.260367343521438505e-02,-5.139993982182504417e-02,4.629708114276114700e-02
5.000000000000000000e+01,6.393120026712834081e-02,3.360618127076813594e-02,-5.173569080728022962e-02,4.636139367523517407e-02
5.100000000000000000e+01,6.524884970498860681e-02,3.464541250247819143e-02,-5.206861620754956593e-02,4.642548630073526500e-02
5.200000000000000000e+01,6.660151435525911434e-02,3.572250359824257621e-02,-5.239846465046655438e-02,4.648939995956419963e-02
5.300000000000000000e+01,6.798981652110691609e-02,3.683862982871529551e-02,-5.272497181097836327e-02,4.655317970034002217e-02
5.400000000000000000e+01,6.941439702084217789e-02,3.799500641285869645e-02,-5.304785995151011652e-02,4.661687484225147254e-02
5.500000000000000000e+01,7.087591541766766201e-02,3.919288970091575064e-02,-5.336683744593213874e-02,4.668053914351411732e-02
5.600000000000000000e+01,7.237505025908061440e-02,4.043357839595126957e-02,-5.368159828644238074e-02,4.674423097636636742e-02
5.700000000000000000e+01,7.391249932586906046e-02,4.171841481513107602e-02,-5.399182157269215993e-02,4.680801350892523083e-02
5.800000000000000000e+01,7.548897989066521985e-02,4.304878619193253791e-02,-5.429717098249101787e-02,4.687195489420779848e-02
5.900000000000000000e+01,7.710522898603523745e-02,4.442612602050748094e-02,-5.459729422342779470e-02,4.693612846661619070e-02
6.000000000000000000e+01,7.876200368209920755e-02,4.585191544344967979e-02,-5.489182246474126614e-02,4.700061294617869506e-02
6.100000000000000000e+01,8.046008137368657054e-02,4.732768468425249675e-02,-5.518036974876572298e-02,4.706549265083880690e-02
6.200000000000000000e+01,8.220026007704271664e-02,4.885501452577833276e-02,-5.546253238126569451e-02,4.713085771708443866e-02
6.300000000000000000e+01,8.398335873611051383e-02,5.043553783609928953e-02,-5.573788829995977856e-02,4.719680432921295743e-02
6.400000000000000000e+01,8.581021753841865107e-02,5.207094114310874267e-02,-5.600599642051713040e-02,4.726343495753217855e-02
6.500000000000000000e+01,8.768169824061486373e-02,5.376296625934490203e-02,-5.626639595929186499e-02,4.733085860580354270e-02
6.600000000000000000e+01,8.959868450368832504e-02,5.551341195851110244e-02,-5.651860573204035842e-02,4.739919106824095479e-02
6.700000000000000000e+01,9.156208223793056711e-02,5.732413570522246898e-02,-5.676212342784488218e-02,4.746855519638676357e-02
6.800000000000000000e+01,9.357281995768933214e-02,5.919705543955561949e-02,-5.699642485744391140e-02,4.753908117619531914e-02
6.900000000000000000e+01,9.563184914597440411e-02,6.113415141802578529e-02,-5.722096317514520358e-02,4.761090681566437777e-02
7.000000000000000000e+01,9.774014462897842592e-02,6.313746811266617021e-02,-5.743516807347243819e-02,4.768417784336465709e-02
7.100000000000000000e+01,9.989870496057970395e-02,6.520911616993536886e-02,-5.763844494966941651e-02,4.775904821822907209e-02
7.200000000000000000e+01,1.021085528168980683e-01,6.735127443123202495e-02,-5.783017404315860671e-02,4.783568045097428417e-02
7.300000000000000000e+01,1.043707354009779376e-01,6.956619201685013132e-02,-5.800970954302176602e-02,4.791424593753951244e-02
7.400000000000000000e+01,1.066863248576766093e-01,7.185619047526525804e-02,-5.817637866454104800e-02,4.799492530493968540e-02
7.500000000000000000e+01,1.090564186988388085e-01,7.422366599969934531e-02,-5.832948069380813200e-02,4.807790876994325752e-02
7.600000000000000000e+01,1.114821402388418148e-01,7.667109171397187839e-02,-5.846828599937732573e-02,4.816339651099822011e-02
7.700000000000000000e+01,1.139646390405985171e-01,7.920102002970651200e-02,-5.859203500990568109e-02,4.825159905384372033e-02
7.800000000000000000e+01,1.165050913721088210e-01,8.181608507702538280e-02,-5.869993715668964107e-02,4.834273767125933652e-02
7.900000000000000000e+01,1.191047006736525998e-01,8.451900521092864382e-02,-5.879116977997255605e-02,4.843704479741849089e-02
8.000000000000000000e+01,1.217646980357204173e-01,8.731258559562350696e-02,-5.886487699786188688e-02,4.853476445732820416e-02
8.100000000000000000e+01,1.244863426877809015e-01,9.019972086913638498e-02,-5.892016853665721365e-02,4.863615271185287720e-02
8.200000000000000000e+01,1.272709224979861053e-01,9.318339789061218237e-02,-5.895611852135278219e-02,4.874147811883636910e-02
8.300000000000000000e+01,1.301197544839196030e-01,9.626669857277818376e-02,-5.897176422503824095e-02,4.885102221085328711e-02
8.400000000000000000e+01,1.330341853344938208e-01,9.945280280212480395e-02,-5.896610477588117710e-02,4.896507999013786916e-02
8.500000000000000000e+01,1.360155919431061955e-01,1.027449914494329847e-01,-5.893809982033282324e-02,4.908396044125665214e-02
8.600000000000000000e+01,1.390653819521661116e-01,1.061466494733571408e-01,-5.888666814115569442e-02,4.920798706210968015e-02
8.700000000000000000e+01,1.421849943091073043e-01,1.096612691198547290e-01,-5.881068622882729829e-02,4.933749841386381868e-02
8.800000000000000000e+01,1.453758998340025366e-01,1.132924532203373330e-01,-5.870898680482840304e-02,4.947284869044159955e-02
8.900000000000000000e+01,1.486396017988999008e-01,1.170439185915045921e-01,-5.858035729527741320e-02,4.961440830820894321e-02
9.000000000000000000e+01,1.519776365190031453e-01,1.209194995399119205e-01,-5.842353825332386591e-02,4.976256451652615737e-02
9.100000000000000000e+01,1.553915739558197895e-01,1.249231514744132548e-01,-5.823722172866423880e-02,4.991772202984781637e-02
9.200000000000000000e+01,1.588830183324043133e-01,1.290589546297156720e-01,-5.802004958249182970e-02,5.008030368207940647e-02
9.300000000000000000e+01,1.624536087608256241e-01,1.333311179043781824e-01,-5.777061174613961486e-02,5.025075110392121513e-02
9.400000000000000000e+01,1.661050198819904733e-01,1.377439828166872882e-01,-5.748744442162054269e-02,5.042952542395355564e-02
9.500000000000000000e+01,1.698389625179574092e-01,1.423020275819440184e-01,-5.716902822221369557e-02,5.061710799424125329e-02
9.600000000000000000e+01,1.736571843368778789e-01,1.470098713148021152e-01,-5.681378625118698594e-02,5.081400114126067430e-02
9.700000000000000000e+01,1.775614705307045627e-01,1.518722783604055104e-01,-5.642008211668782247e-02,5.102072894297753070e-02
9.800000000000000000e+01,1.815536445058087700e-01,1.568941627581840192e-01,-5.598621788077184913e-02,5.123783803293068678e-02
9.900000000000000000e+01,1.856355685866523941e-01,1.620805928422806852e-01,-5.551043194047738938e-02,5.146589843220384514e-02
1.000000000000000000e+02,1.898091447326622772e-01,1.674367959827012531e-01,-5.499089683878805035e-02,5.170550441019523130e-02
1.010000000000000000e+02,1.940763152684584214e-01,1.729681634713971239e-01,-5.442571700325985612e-02,5.195727537512402627e-02
1.020000000000000000e+02,1.984390636275903119e-01,1.786802555576168516e-01,-5.381292641002057703e-02,5.222185679524177920e-02
1.030000000000000000e+02,2.028994151099392795e-01,1.845788066369883074e-01,-5.315048617077874210e-02,5.249992115174784840e-02
1.040000000000000000e+02,2.074594376529481365e-01,1.906697305989246971e-01,-5.243628204040739343e-02,5.279216892443874820e-02
1.050000000000000000e+02,2.121212426168441190e-01,1.969591263370815415e-01,-5.166812184259315932e-02,5.309932961115396838e-02
1.060000000000000000e+02,2.168869855840239447e-01,2.034532834277290314e-01,-5.084373281096506159e-02,5.342216278211366770e-02
1.070000000000000000e+02,2.217588671727757088e-01,2.101586879810466157e-01,-4.996075884303877168e-02,5.376145917027785881e-02
1.080000000000000000e+02,2.267391338655162514e-01,2.170820286704903401e-01,-4.901675766423125441e-02,5.411804179889180555e-02
1.090000000000000000e+02,2.318300788517282385e-01,2.242302029455336410e-01,-4.800919789911811675e-02,5.449276714741817934e-02
1.100000000000000000e+02,2.370340428857871939e-01,2.316103234332335670e-01,-4.693545604702065166e-02,5.488652635709378308e-02
1.110000000000000000e+02,2.423534151598745745e-01,2.392297245342319967e-01,-4.579281335892242122e-02,5.530024647738645410e-02
1.120000000000000000e+02,2.477906341921804478e-01,2.470959692189614587e-01,-4.457845261262539244e-02,5.573489175466696949e-02
1.130000000000000000e+02,2.533481887306056612e-01,2.552168560299888367e-01,-4.328945478296380989e-02,5.619146496445088373e-02
1.140000000000000000e+02,2.590286186721838524e-01,2.636004262966000766e-01,-4.192279560379973818e-02,5.667100878860618918e-02
1.150000000000000000e+02,2.648345159984506481e-01,2.722549715679001836e-01,-4.047534201842722251e-02,5.717460723896533592e-02
1.160000000000000000e+02,2.707685257269979440e-01,2.811890412708799580e-01,-3.894384851491340671e-02,5.770338712882305127e-02
1.170000000000000000e+02,2.768333468794640373e-01,2.904114506000808893e-01,-3.732495334280293980e-02,5.825851959384612672e-02
1.180000000000000000e+02,2.830317334662196260e-01,2.999312886456752536e-01,-3.561517460750857761e-02,5.884122166396676956e-02
1.190000000000000000e+02,2.893664954880261209e-01,3.097579267669672287e-01,-3.381090623860413119e-02,5.945275788787785648e-02
1.200000000000000000e+02,2.958404999549556491e-01,3.199010272185122128e-01,-3.190841382812738963e-02,6.009444201179600653e-02
1.210000000000000000e+02,3.024566719228799494e-01,3.303705520362505421e-01,-2.990383033488942452e-02,6.076763871420762242e-02
1.220000000000000000e+02,3.092179955478525089e-01,3.411767721912520868e-01,-2.779315165067301752e-02,6.147376539836286319e-02
1.230000000000000000e+02,3.161275151587304988e-01,3.523302770188733168e-01,-2.557223202408690638e-02,6.221429404433358873e-02
1.240000000000000000e+02,3.231883363484024385e-01,3.638419839313362658e-01,-2.323677933772456267e-02,6.299075312250380920e-02
1.250000000000000000e+02,3.304036270840157719e-01,3.757231484219545892e-01,-2.078235023415510654e-02,6.380472957041427584e-02
1.260000000000000000e+02,3.377766188366227995e-01,3.879853743694448576e-01,-1.820434508615156183e-02,6.465787083493738929e-02
1.270000000000000000e+02,3.453106077306966060e-01,4.006406246509847113e-01,-1.549800280643638672e-02,6.555188698181423079e-02
1.280000000000000000e+02,3.530089557139995393e-01,4.137012320729003267e-01,-1.265839549209718182e-02,6.648855287464147668e-02
1.290000000000000000e+02,3.608750917483257159e-01,4.271799106280950165e-01,-9.680422898696529679e-03,6.746971042545411856e-02
1.300000000000000000e+02,3.689125130216794335e-01,4.410897670895582712e-01,-6.558806738968882104e-03,6.849727091910784438e-02
1.310000000000000000e+02,3.771247861824962300e-01,4.554443129495296394e-01,-3.288084800864996427e-03,6.957321741372421431e-02
1.320000000000000000e+02,3.855155485965643947e-01,4.702574767141252665e-01,1.373951204297437141e-04,7.069960721952227301e-02
1.330000000000000000e+02,3.940885096273586963e-01,4.855436165634720580e-01,3.723481482012144881e-03,7.187857445842057991e-02
1.340000000000000000e+02,4.028474519405606524e-01,5.013175333876358497e-01,7.476225449958663616e-03,7.311233270685552066e-02
1.350000000000000000e+02,4.117962328336054467e-01,5.175944842088674447e-01,1.140188755898623348e-02,7.440317772432336607e-02
1.360000000000000000e+02,4.209387855911713716e-01,5.343901960009324048e-01,1.550694458099709933e-02,7.575349027021678616e-02
1.370000000000000000e+02,4.302791208676088330e-01,5.517208799165334021e-01,1.979809660856616041e-02,7.716573901158815807e-02
1.380000000000000000e+02,4.398213280973960471e-01,5.696032459340734100e-01,2.428227435956714642e-02,7.864248352453630242e-02
1.390000000000000000e+02,4.495695769348103665e-01,5.880545179352465457e-01,2.896664670927109886e-02,8.018637739197491399e-02
1.400000000000000000e+02,4.595281187241103127e-01,6.070924492251859039e-01,3.385862845638661078e-02,8.180017140060460989e-02
1.410000000000000000e+02,4.697012880016493974e-01,6.267353385071270377e-01,3.896588832964562044e-02,8.348671683997233028e-02
1.420000000000000000e+02,4.800935040314709412e-01,6.470020463237813324e-01,4.429635724167059474e-02,8.524896890656354087e-02
1.430000000000000000e+02,4.907092723760838604e-01,6.679120119778386711e-01,4.985823679698813543e-02,8.708999021593336054e-02
1.440000000000000000e+02,5.015531865042796023e-01,6.894852709442375049e-01,5.566000806117930161e-02,8.901295442594216178e-02
1.450000000000000000e+02,5.126299294380280980e-01,7.117424727870564904e-01,6.171044059827778677e-02,9.102114997421915932e-02
1.460000000000000000e+02,5.239442754406862246e-01,7.347048995940804739e-01,6.801860178364260712e-02,9.311798393303302723e-02
1.470000000000000000e+02,5.355010917489680944e-01,7.583944849422921131e-01,7.459386639964024623e-02,9.530698598480241701e-02
1.480000000000000000e+02,5.473053403513623572e-01,7.828338334077166172e-01,8.144592652157305046e-02,9.759181252152962505e-02
1.490000000000000000e+02,5.593620798159433249e-01,8.080462406332132863e-01,8.858480170138172127e-02,9.997625087148793999e-02
1.500000000000000000e+02,5.716764671708050027e-01,8.340557139679590781e-01,9.602084945673261540e-02,1.024642236565365405e-01
1.510000000000000000e+02,5.842537598406667421e-01,8.608869936924934407e-01,1.037647760731691821e-01,1.050597932834750753e-01
1.520000000000000000e+02,5.970993176435375194e-01,8.885655748433064494e-01,1.118276477270635227e-01,1.077671665728839184e-01
1.530000000000000000e+02,6.102186048517097561e-01,9.171177296510288901e-01,1.202209019371444643e-01,1.105906995289226008e-01
1.540000000000000000e+02,6.236171923217673774e-01,9.465705306063403324e-01,1.289563593524006846e-01,1.135349022535796643e-01
1.550000000000000000e+02,6.373007596987472212e-01,9.769518741677278850e-01,1.380462358841608173e-01,1.166044440088789685e-01
1.560000000000000000e+02,6.512750977000962838e-01,1.008290505125217784e+00,1.475031551901315185e-01,1.198041584305511026e-01
1.570000000000000000e+02,6.655461104856159604e-01,1.040616041634142341e+00,1.573401615181302948e-01,1.231390488966708080e-01
1.580000000000000000e+02,6.801198181201834059e-01,1.073959000932902086e+00,1.675707329171747806e-01,1.266142940547438089e-01
1.590000000000000000e+02,6.950023591367038289e-01,1.108350825758537272e+00,1.782087948234850894e-01,1.302352535106941489e-01
1.600000000000000000e+02,7.101999932074700705e-01,1.143823911473705435e+00,1.892687340288141951e-01,1.340074736831577407e-01
1.610000000000000000e+02,7.257191039328984017e-01,1.180411633918393211e+00,2.007654130383401403e-01,1.379366938264255105e-01
1.620000000000000000e+02,7.415662017574763398e-01,1.218148377999351384e+00,2.127141848251283274e-01,1.420288522252993457e-01
1.630000000000000000e+02,7.577479270237150732e-01,1.257069567029816204e+00,2.251309079878974495e-01,1.462900925650239270e-01
1.640000000000000000e+02,7.742710531759350312e-01,1.297211692831580665e+00,2.380319623184940780e-01,1.507267704793341101e-01
1.650000000000000000e+02,7.911424901268578891e-01,1.338612346610872583e+00,2.514342647850903445e-01,1.553454602795101558e-01
1.660000000000000000e+02,8.083692878012248562e-01,1.381310250618796864e+00,2.653552859366634653e-01,1.601529618671578836e-01
1.670000000000000000e+02,8.259586398720298872e-01,1.425345290606274240e+00,2.798130667337846988e-01,1.651563078332233259e-01
1.680000000000000000e+02,8.439178877064479334e-01,1.470758549082461952e+00,2.948262358101340075e-01,1.703627707455126483e-01
1.690000000000000000e+02,8.622545245401749270e-01,1.517592339384552069e+00,3.104140271684530661e-01,1.757798706267094113e-01
1.700000000000000000e+02,8.809761999006835431e-01,1.565890240565601443e+00,3.265962983138475662e-01,1.814153826245613610e-01
1.710000000000000000e+02,9.000907243018539949e-01,1.615697133105636674e+00,3.433935488264409641e-01,1.872773448755446213e-01
1.720000000000000000e+02,9.196060742345703032e-01,1.667059235449676491e+00,3.608269393743465114e-01,1.933740665628963240e-01
1.730000000000000000e+02,9.395303974802097224e-01,1.720024141374515869e+00,3.789183111667637771e-01,1.997141361694345085e-01
1.740000000000000000e+02,9.598720187764990808e-01,1.774640858184092895e+00,3.976902058456948663e-01,2.063064299250522704e-01
1.750000000000000000e+02,9.806394458679931203e-01,1.830959845730990132e+00,4.171658858133084902e-01,2.131601204481713419e-01
1.760000000000000000e+02,1.001841375976466164e+00,1.889033056259090904e+00,4.373693549903361899e-01,2.202846855797651049e-01
1.770000000000000000e+02,1.023486702729824449e+00,1.948913975059582748e+00,4.583253799990497090e-01,2.276899174078058363e-01
1.780000000000000000e+02,1.045584523591756687e+00,2.010657661929367013e+00,4.800595117623265851e-01,2.353859314791438562e-01
1.790000000000000000e+02,1.068144147838285374e+00,2.074320793417432363e+00,5.025981075080351301e-01,2.433831761948829220e-01
1.800000000000000000e+02,1.091175105131675149e+00,2.139961705840899064e+00,5.259683531654485433e-01,2.516924423842650249e-01
1.810000000000000000e+02,1.114687154746831554e+00,2.207640439048160985e+00,5.501982861376003564e-01,2.603248730509084563e-01
1.820000000000000000e+02,1.138690295510433215e+00,2.277418780901825812e+00,5.753168184303973920e-01,2.692919732839460512e-01
1.830000000000000000e+02,1.163194776518575502e+00,2.349360312448965260e+00,6.013537601158878143e-01,2.786056203251719987e-01
1.840000000000000000e+02,1.188211108704758212e+00,2.423530453740441182e+00,6.283398431033065945e-01,2.882780737817142169e-01
1.850000000000000000e+02,1.213750077336609889e+00,2.499996510254786752e+00,6.563067451873605407e-01,2.983219859719918876e-01
1.860000000000000000e+02,1.239822755526891918e+00,2.578827719875205204e+00,6.852871143386402020e-01,3.087504123907723885e-01
1.870000000000000000e+02,1.266440518852083974e+00,2.660095300360663551e+00,7.153145931960075421e-01,3.195768222770067890e-01
1.880000000000000000e+02,1.293615061180284576e+00,2.743872497243760922e+00,7.464238437152882488e-01,3.308151092657607428e-01
1.890000000000000000e+02,1.321358411819312684e+00,2.830234632078976187e+00,7.786505719225315092e-01,3.424796021029699600e-01
1.900000000000000000e+02,1.349682954105821064e+00,2.919259150954986559e+00,8.120315527134617239e-01,3.545850753988980530e-01
1.910000000000000000e+02,1.378601445566998596e+00,3.011025673173918893e+00,8.466046546334825562e-01,3.671467603930517742e-01
1.920000000000000000e+02,1.408127039798091618e+00,3.105616039988644772e+00,8.824088645646475104e-01,3.801803556998800682e-01
1.930000000000000000e+02,1.438273310211604761e+00,3.203114363276375887e+00,9.194843122373411726e-01,3.937020380008341980e-01
1.940000000000000000e+02,1.469054275827690770e+00,3.303607074012909539e+00,9.578722944749605839e-01,4.077284726442595431e-01
1.950000000000000000e+02,1.500484429289998589e+00,3.407182970396748445e+00,9.976152990695765777e-01,4.222768241101066966e-01
1.960000000000000000e+02,1.532578767307189560e+00,3.513933265455917887e+00,1.038757028175351538e+00,4.373647662915535750e-01
1.970000000000000000e+02,1.565352823737529597e+00,3.623951633952589457e+00,1.081342421094300343e+00,4.530104925402935190e-01
1.980000000000000000e+02,1.598822705552496615e+00,3.737334258381428409e+00,1.125417676315757953e+00,4.692327254164310735e-01
1.990000000000000000e+02,1.633005131935308940e+00,3.854179873836882209e+00,1.171030272656580440e+00,4.860507260776029126e-01
2.000000000000000000e+02,1.667917476791743958e+00,3.974589811502363013e+00,1.218228989333573153e+00,5.034843032350713177e-01
2.010000000000000000e+02,1.703577814973675997e+00,4.098668040490209385e+00,1.267063924782863227e+00,5.215538215970799696e-01
2.020000000000000000e+02,1.740004972540509565e+00,4.226521207735609131e+00,1.317586514022799138e+00,5.402802097116776725e-01
2.030000000000000000e+02,1.777218581410185960e+00,4.358258675619953948e+00,1.369849544337418790e+00,5.596849671124701775e-01
2.040000000000000000e+02,1.815239138779805028e+00,4.493992556969542029e+00,1.423907169036492615e+00,5.797901706612981210e-01
2.050000000000000000e+02,1.854088071726192943e+00,4.633837747043889621e+00,1.479814919025532527e+00,6.006184799716351996e-01
2.060000000000000000e+02,1.893787807429038850e+00,4.777911952094227921e+00,1.537629711894901607e+00,6.221931417854958957e-01
2.070000000000000000e+02,1.934361849493610785e+00,4.926335714036865987e+00,1.597409858211182199e+00,6.445379931648039795e-01
2.080000000000000000e+02,1.975834860886556577e+00,5.079232430748053417e+00,1.659215064666184070e+00,6.676774633454625185e-01
2.090000000000000000e+02,2.018232754037015741e+00,5.236728371446621288e+00,1.723106433709371110e+00,6.916365740887234770e-01
2.100000000000000000e+02,2.061582788696170621e+00,5.398952686588167182e+00,1.789146459257952904e+00,7.164409383498770989e-01
2.110000000000000000e+02,2.105913678191554617e+00,5.566037411649672251e+00,1.857399018045436279e+00,7.421167570686946213e-01
2.120000000000000000e+02,2.151255704757810694e+00,5.738117464136430534e+00,1.927929356133992300e+00,7.686908138694665826e-01
2.130000000000000000e+02,2.197640844673235616e+00,5.915330633093926593e+00,2.000804070078578523e+00,7.961904674408371019e-01
2.140000000000000000e+02,2.245102903981198494e+00,6.097817560356014077e+00,2.076091082191369619e+00,8.246436413469377946e-01
2.150000000000000000e+02,2.293677665627363638e+00,6.285721712707475817e+00,2.153859609313713452e+00,8.540788110015626877e-01
2.160000000000000000e+02,2.343403048897419794e+00,6.479189344084029578e+00,2.234180124459623773e+00,8.845249875163038178e-01
2.170000000000000000e+02,2.394319282095547674e+00,6.678369446876206261e+00,2.317124310649816277e+00,9.160116981117008006e-01
2.180000000000000000e+02,2.446469089460935997e+00,6.883413691345645624e+00,2.402765006208647858e+00,9.485689627575927263e-01
2.190000000000000000e+02,2.499897893377976743e+00,7.094476352103439964e+00,2.491176140748180057e+00,9.822272666850319078e-01
2.200000000000000000e+02,2.554654032995027801e+00,7.311714220540715736e+00,2.582432661014203212e+00,1.017017528387426317e+00
2.210000000000000000e+02,2.610789000426367856e+00,7.535286502042014334e+00,2.676610445718674125e+00,1.052971062703096816e+00
2.220000000000000000e+02,2.668357695771752969e+00,7.765354696752845953e+00,2.773786208432006184e+00,1.090119538545326172e+00
2.230000000000000000e+02,2.727418702247191629e+00,8.002082462614536595e+00,2.874037387557400347e+00,1.128494930819369912e+00
2.240000000000000000e+02,2.788034582778592174e+00,8.245635459322965488e+00,2.977442022358351981e+00,1.168129466039032005e+00
2.250000000000000000e+02,2.850272199466004075e+00,8.496181171813558919e+00,3.084078613960263837e+00,1.209055561128487666e+00
2.260000000000000000e+02,2.914203057379500361e+00,8.753888711824025393e+00,3.194025970198224318e+00,1.251305754868380804e+00
2.270000000000000000e+02,2.979903674197331487e+00,9.018928596039327061e+00,3.307363033136355934e+00,1.294912631419141036e+00
2.280000000000000000e+02,3.047455977241861014e+00,9.291472499281601571e+00,3.424168688040374331e+00,1.339908735329379930e+00
2.290000000000000000e+02,3.116947729507799636e+00,9.571692981171773695e+00,3.544521552545092824e+00,1.386326477413550196e+00
