trial_group,side,n_samples,duration_s,t_start,Single_leg_hip_flex_mean_deg,Single_leg_ankle_flex_mean_deg,Single_leg_hip_abd_mean_deg,Single_leg_ankle_abd_mean_deg,com0_mean,com0_final
1,right,697,6.959993362426758,52.1499502658844,1.8769786526768304,-0.33727998825404754,3.404620433974969,4.856076322999164,-32.84945420889984,54.74597583051546
2,left,985,9.839990615844727,59.119943618774414,0.2557933108176143,0.38228222438017306,-7.587015458031413,3.033814640121174,43.154388796262076,-56.519412585964645
3,right,313,3.119997024536133,68.9699342250824,-0.473424151671609,0.45082815612302707,5.65810520947838,0.7908754947020614,-40.36270508717591,56.19403286937768
4,left,692,6.909993410110474,72.09993124008179,-0.40157302737297657,0.7642716260351157,-6.34942374194155,-0.48182675224700955,37.099083999387574,-57.73352401341965
5,right,658,6.569993734359741,79.01992464065552,-1.0720327571669181,0.9021912102848163,6.548564557679257,-0.23475661725958424,-42.916086669761896,62.61682972175586
6,left,474,4.729995489120483,85.59991836547852,-1.023009646664937,0.9213823245310497,-7.95462853049504,1.4989260591463247,47.96367419272599,-55.91977898493906
7,right,1092,10.909989595413208,90.33991384506226,-1.6730221234139449,1.1213727392898771,8.25398285581706,1.1146837175925288,-51.514791574168534,55.47618107796447
8,left,437,4.3599958419799805,101.25990343093872,-1.388131637535178,0.6612239329267041,-6.533498149782826,1.1423719469186209,38.26657003063114,-56.855098045132685
9,right,741,7.399992942810059,105.62989926338196,-0.22451541677528167,0.10789435732950871,7.024652733108163,0.09602973904236213,-46.036294259951006,55.71625191063138
10,left,366,3.649996519088745,113.03989219665527,-0.4211017767602341,0.188755851287023,-6.632275058839004,0.2546323464149384,40.43623369472671,-58.30442309078576
11,right,534,5.329994916915879,116.69988870620728,-0.06742148023260544,-0.06672903160633145,6.695626775297268,-0.43583495403254147,-44.48339675589354,56.47749742676698
12,left,331,3.2999968528747416,122.03988361358644,-0.5231890365017972,0.3551615547514651,-7.0507065416847805,1.1277065123238748,44.710480151777176,-56.63712236951224
13,right,471,4.699995517730713,125.34988045692444,-0.4218140288719706,0.011947590785439763,5.983098802859324,-0.6151310178418847,-36.38627577485703,56.32200276232842
14,left,951,9.499990940093994,130.0598759651184,-1.618433836428743,0.43159084585945917,-7.5275459389628425,0.18580773336423795,48.90597936339485,-55.32051268919447
15,right,428,4.269995927810669,139.56986689567566,-0.9152073888576282,-0.11272950419285137,6.349264780819465,0.5533472457760821,-35.637892987868305,61.80170107191576
16,left,426,4.249995946884155,143.84986281394958,-1.366342244564003,0.4164059575112158,-6.331722134527292,0.32960647387256986,41.23704131713277,-61.35930427308519
17,right,502,5.009995222091675,148.109858751297,-1.4870449588558352,0.27651698120602936,6.776852058604407,-0.9464621353616351,-40.69607032587768,54.86069539444987
18,left,467,4.659995555877657,153.12985396385193,-0.9498626187491506,-0.0021740373290651386,-6.632066632917357,-0.3910512576634563,41.94930286395883,-55.47701255716696
19,right,488,4.869995355606079,157.79984951019287,-0.6705887465006938,-0.09400471243097784,7.422727487543088,0.45790172665198364,-45.08687213581072,56.85290255527659
20,left,453,4.51999568939209,162.6798448562622,-0.7480599583475644,0.007808962954394296,-7.026926272865648,-0.03163232608453486,45.362831475522874,-55.62197137310584
21,right,494,4.92999529838562,167.20984053611755,-0.6079062798523363,-0.15197374964975047,6.227212260312816,-0.12784334709978845,-38.60042929565256,55.25271226269126
22,left,712,7.10999321937561,172.14983582496643,-0.9001635460532121,-0.014107573062991373,-4.999616226725708,0.48466323357655755,34.22022667902283,-55.906786453006106
23,right,439,4.379995822906494,179.2698290348053,-0.76194394988574,-0.5261666232347986,7.83204213738785,0.3014481604125443,-45.78296235783367,56.287560875193456
24,left,348,3.4699966907501505,183.65982484817505,-0.761178301608549,-0.13194816329416448,-6.916487429988811,2.5349750051674893,43.9574434572321,-55.83790903932154
25,right,635,6.339993953704862,187.13982152938843,-1.4625104936229352,-0.14252442220396044,7.829410769377248,-0.2871624334911775,-47.70513098992691,55.63843887732099
26,left,710,7.089993238449097,193.4898154735565,-1.69154216386197,0.06064498653354728,-7.559763777598202,1.3208808397313763,47.48593621779492,-55.68996622002616
27,right,471,4.699995517730741,200.58980870246887,-2.024323762362199,-0.03022262328301256,7.131660914820457,0.5148305429434317,-43.18652822430378,56.008348610643885
28,left,425,4.23999595642087,205.29980421066284,-2.2438999100196626,0.19588355729482382,-6.722602309725187,0.7328167848201677,41.93586183256413,-56.31747618771723
29,right,472,4.70999550819397,209.549800157547,-2.729827188432647,-0.0040768746922358245,7.515874870020515,-0.7479815348396643,-46.88776838360545,56.45418669524936
30,left,481,4.799995422363253,214.26979565620425,-1.6961222840082522,-0.1157998186267557,-7.227030587871212,0.7696724620385732,45.070919824396675,-55.67394483647021
31,right,796,7.949992418289156,219.0797910690308,-2.341065644064291,-0.008422300931012228,7.842245589866094,0.8527663608006779,-48.58256448827979,55.380007726853066
32,left,487,4.859995365142851,227.0397834777832,-2.1032744802136234,0.1929174977446548,-7.107689990197106,2.57819855149648,44.10522208236769,-56.86050665580862
33,right,420,4.189996004104614,231.90977883338928,-2.5818841579061864,0.2934974805944334,6.725838029721386,1.5817512841089458,-42.36482855183729,55.064913398278456
34,left,289,2.8799972534179688,236.10977482795715,-2.689615709960529,0.3209379070827942,-6.659285177028358,1.6390283033634339,41.25521334773436,-55.58961528171267
35,right,398,3.969996213912907,238.9997720718384,-2.9136760878866506,0.19705063293327632,6.616738174344846,1.8885396688118343,-40.074003943723156,55.22992847600202
36,left,398,3.9699962139129923,242.9797682762146,-2.8316483514041035,0.3052034043716082,-6.771984590994874,3.1571174985520973,43.02709486590357,-55.58194825505878
37,right,446,4.44999575614932,246.9597644805908,-2.821650714450066,0.08274085148701332,3.793412064757913,1.7754283360809846,-22.140341910303363,54.918500953345365
38,left,465,4.639995574951172,251.41976022720337,-3.0688146544937354,0.33759126033963266,-6.777088184419769,1.2874918430313311,44.11706136854387,-55.863509752559786
