trial_id,direction,n_same_dir_sims,best_sim_episode,best_rmse,best_corr,mean_rmse_same_dir,mean_corr_same_dir
1,-1.0,20,31,0.11282664362294721,0.19695883182489243,0.11554228392309789,0.13835701424057328
2,-1.0,20,31,0.12040826331070227,0.12954383843761738,0.1228560641906317,0.09081643499968338
3,-1.0,20,31,0.11918637858905201,0.15950747847393426,0.12178822441440325,0.11218332405355683
4,-1.0,20,31,0.11743692481715182,0.16859909399557524,0.12009997269039177,0.11826126312570917
5,-1.0,20,31,0.12208156576266109,0.1317118753817185,0.1246171676180213,0.09245769061762163
6,-1.0,20,31,0.12469321723073648,0.14419684101479616,0.12724615874926962,0.10116641707647264
7,-1.0,20,31,0.1279893860058573,0.08390652105691801,0.13039399366391924,0.058827815177140794
8,-1.0,20,31,0.11842818932188694,0.1508892201913963,0.12101058403324408,0.10595958586781593
9,-1.0,20,31,0.12371372539020391,0.13148866743482163,0.12624139428065353,0.09237840793132171
10,-1.0,20,31,0.11979077278362041,0.15722359149328569,0.12241109864902236,0.11048570149958217
11,-1.0,20,31,0.13451392691526587,0.1212476213891787,0.13688121719519947,0.08205289315144754
12,-1.0,20,31,0.0839886291667546,0.3964187885162422,0.0873642139944841,0.27834083785503655
13,-1.0,20,31,0.116963227077141,0.18436336906076028,0.11971012362163078,0.12941986872378375
14,-1.0,20,31,0.12578724945417918,0.10017096464911507,0.12821469993320714,0.07032385989921194
15,-1.0,20,31,0.11780103850284054,0.1376116601830679,0.12032693894907846,0.09675730200788328
16,-1.0,20,31,0.12015376824856497,0.15427227862555884,0.12275214119669382,0.10834783566848874
17,-1.0,20,31,0.1202939264400578,0.18454195035616655,0.12306793645743877,0.12942707919210095
18,-1.0,20,31,0.12101642671716888,0.12723694290753856,0.12350939169119726,0.08954081575841134
19,-1.0,20,31,0.12316770675687509,0.11595167179985921,0.12563182954836807,0.08150359216469813
20,-1.0,20,31,0.12323418130178225,0.12478155220826448,0.12573041329416915,0.08764947988399005
21,-1.0,20,31,0.11932804075248955,0.13827286647675138,0.12187038331933628,0.09731238460434422
22,-1.0,20,31,0.11629140822389815,0.1568253611707533,0.11890012403702899,0.11021723129044136
23,-1.0,20,31,0.12405735488579929,0.12068692050998536,0.12656085355104552,0.08494260201736879
24,-1.0,20,31,0.1340426722247863,-0.20818426558573513,0.13634117353979294,-0.14631604249839997
25,-1.0,20,31,0.07943188564334565,0.43807894941551384,0.08299732321565356,0.30748981823352883
26,-1.0,20,31,0.12469913175225666,0.1099231040203558,0.12714936557499606,0.07716356550691103
27,-1.0,20,31,0.12167393936662138,0.13001610035360214,0.12417969742860853,0.09133833662475603
28,-1.0,20,31,0.12105017581617959,0.13839457252717408,0.12359620541676397,0.09725553054751775
29,-1.0,20,31,0.12425285619260355,0.11835831266886171,0.12672965207045223,0.0831577642847658
30,-1.0,20,31,0.12310408273341014,0.1449679278034864,0.12568780530323648,0.10173932358710933
31,-1.0,20,31,0.13318344755406558,0.13118067910078882,0.1355289292198728,0.08946059995678539
32,-1.0,20,31,0.06933993618021307,0.49807054510116056,0.07330484994120058,0.34950066654204404
33,-1.0,20,31,0.12072528394788008,0.14584069731440868,0.12327911522198645,0.10256022505144083
34,-1.0,20,31,0.12020836121371836,0.14907581606621553,0.12278438923550043,0.10479810553509214
35,-1.0,20,31,0.11918746533665797,0.15951484764123602,0.12180029972878337,0.11209070201345654
36,-1.0,20,31,0.12136777933744257,0.13959095585797332,0.12390589022567781,0.09804624945049498
37,-1.0,20,31,0.10669081470980912,0.2232821275326394,0.1095927772250845,0.156851078873218
38,-1.0,20,31,0.12231179629537209,0.1206040121018059,0.12478239316785836,0.08480559912110429
39,-1.0,20,31,0.12058873621920328,0.1561359486083192,0.12318694047935266,0.1097207965486829
40,-1.0,20,31,0.11964143626666379,0.15925512632210279,0.1222565812408273,0.11186272773924162
41,-1.0,20,31,0.11633773857394138,0.176827084883124,0.11900363699528302,0.12435753596039648
42,-1.0,20,31,0.12191439819645591,0.13718576651359354,0.12443422315403378,0.09631700781185755
43,-1.0,20,31,0.10361707778354864,0.2483508243502009,0.10665405421449099,0.1744916908273865
44,-1.0,20,31,0.11935931101828737,0.13910632499133568,0.12187536088149639,0.09778567505804114
