episode,total_reward,steps,target_x,final_com_x,final_h,failed,final_error
1,1730.4373813085258,1000,0.009918737534611893,0.008188722107495147,0.9965399691457665,False,-0.0017300154271167462
2,1718.9273275844753,1000,-0.04500612641879238,-0.04491602354689374,0.9998197942562027,False,9.010287189864519e-05
3,1738.9162690229714,1000,0.04691543028184292,0.0439761563754774,0.994121452187269,False,-0.0029392739063655166
4,1745.7657127585262,1000,0.0743270548375313,0.07051050503363762,0.9923669003922126,False,-0.0038165498038936763
5,1709.2842601041484,1000,-0.0902484578545664,-0.08866641907760327,0.9968359224460738,False,0.0015820387769631267
6,1736.6632574163377,1000,0.035983532232804455,0.03339906969625808,0.9948310749269073,False,-0.0025844625365463725
7,1742.1961658727378,1000,0.05941388575040926,0.056072210878581184,0.9933166502563439,False,-0.003341674871828078
8,1712.051305963454,1000,-0.07860928070544514,-0.0774087944115692,0.9975990274122482,False,0.001200486293875938
9,1707.3863804526627,1000,-0.09468245310648056,-0.09295563774006985,0.9965463692671785,False,0.0017268153664107139
10,1725.2141882423311,1000,-0.014898200519004673,-0.015807297747962426,0.9981818055420845,False,-0.0009090972289577531
11,1749.0085176117718,1000,0.08966569065835503,0.08536761628091395,0.9914038512451179,False,-0.004298074377441077
12,1746.120312543586,1000,0.0792618747409361,0.07528960019348266,0.9920554509050932,False,-0.0039722745474534416
13,1747.3569625094533,1000,0.08208143561316758,0.07802052051329089,0.9918781698002466,False,-0.0040609150998766885
14,1727.35760126682,1000,-0.006566249217829598,-0.007751483710391958,0.9976295310148753,False,-0.0011852344925623601
15,1727.1612402914325,1000,-0.008598064878225745,-0.009715998642902693,0.9977641324706461,False,-0.0011179337646769483
16,1709.2124771721428,1000,-0.09113915684234304,-0.08952801008042666,0.9967777064761673,False,0.001611146761916385
17,1738.918474048376,1000,0.047277174102657304,0.04432620291630492,0.9940980576272952,False,-0.0029509711863523816
18,1727.5197846340016,1000,-0.004927806054012801,-0.006167290916256203,0.9975210302755132,False,-0.0012394848622434016
19,1719.85406097956,1000,-0.0376669164352359,-0.03782033213136892,0.9996931686077339,False,-0.00015341569613302325
20,1737.0042306203395,1000,0.03881357647151734,0.036137029457714076,0.9946469059723935,False,-0.0026765470138032654
